game_id,stand_id,final_attendance,transaction_count,predicted_transaction_count,abs_pct_error
G2025020,STAND11,16628,455,447.5,0.016557626045975323
G2025021,STAND6,17476,444,431.4,0.028433847851723593
G2025021,STAND12,17476,395,431.1,0.09131407248237755
G2025021,STAND20,17476,381,431.1,0.13141485204865913
G2025021,STAND7,17476,386,431.1,0.11675921925010138
G2025021,STAND23,17476,432,428.8,0.007439946481374475
G2025022,STAND6,15576,435,363.9,0.16355805317220526
G2025022,STAND23,15576,412,364.3,0.1157711909846226
G2025022,STAND12,15576,395,364.5,0.07714256149106966
G2025022,STAND20,15576,420,363.9,0.13368512649978403
G2025022,STAND7,15576,434,363.9,0.16163076758043615
G2025023,STAND9,16739,342,451.0,0.31870227623390135
G2025023,STAND17,16739,330,451.0,0.36665508627877047
G2025024,STAND19,16144,449,425.4,0.052580264871994686
G2025024,STAND2,16144,431,425.6,0.012626056971809647
G2025024,STAND8,16144,437,423.5,0.030838964007332315
G2025024,STAND14,16144,465,425.4,0.08517965360758196
G2025024,STAND24,16144,451,425.4,0.056781682766132185
G2025000,STAND13,14091,443,354.8,0.1991750469803279
G2025000,STAND22,14091,385,354.1,0.08038639912045317
G2025000,STAND15,14091,395,354.8,0.1018596096513551
G2025025,STAND1,17053,472,415.7,0.11923142295167424
G2025025,STAND11,17053,462,415.9,0.09973761596541691
G2025025,STAND16,17053,453,415.9,0.08185160833559076
G2025025,STAND5,17053,493,415.9,0.15634640684791606
G2025025,STAND10,17053,435,415.9,0.04385926109430486
G2025026,STAND17,16577,437,430.2,0.015578121000224354
G2025026,STAND9,16577,433,431.8,0.0028062193253220557
G2025027,STAND6,16574,453,381.0,0.1588503688935279
G2025027,STAND20,16574,449,377.1,0.16018495609106376
G2025027,STAND12,16574,426,378.8,0.11073966244069898
G2025027,STAND23,16574,462,376.7,0.18465335828819218
G2025027,STAND7,16574,461,375.4,0.18560646180576074
G2025028,STAND20,14630,347,344.6,0.007003975719263831
G2025028,STAND23,14630,333,344.6,0.03474360488112748
G2025028,STAND6,14630,417,344.6,0.17369395581435143
G2025028,STAND12,14630,352,344.6,0.02110903288234247
G2025028,STAND7,14630,349,344.6,0.012694497348379796
G2025029,STAND17,17651,448,434.6,0.029901766610339258
G2025029,STAND9,17651,426,434.6,0.020197203189126788
G2025030,STAND9,14132,342,397.7,0.16296070355400166
G2025030,STAND17,14132,304,397.7,0.3083307914982519
G2025031,STAND4,14897,352,340.6,0.03228655136353935
G2025032,STAND4,14244,419,329.9,0.21275035780633567
G2025033,STAND14,18000,475,484.2,0.019322336145318763
G2025033,STAND2,18000,464,487.2,0.05000048360100474
G2025033,STAND19,18000,464,483.9,0.04284561120613985
G2025033,STAND24,18000,470,483.9,0.029532688509891252
G2025033,STAND8,18000,437,482.4,0.10399574931562067
G2025034,STAND9,17573,447,425.8,0.04750912510082768
G2025034,STAND17,17573,435,425.8,0.02123351475878155
G2025035,STAND21,13549,323,323.3,0.0010599156511706999
G2025036,STAND21,13038,343,331.8,0.03264498737578558
G2025001,STAND12,15055,399,356.7,0.10593919959465661
G2025001,STAND23,15055,410,356.7,0.12992619667870242
G2025001,STAND7,15055,366,356.7,0.025327160213846966
G2025001,STAND6,15055,338,356.7,0.05541496852583435
G2025001,STAND20,15055,390,356.7,0.08530702727761023
G2025002,STAND3,15406,385,415.4,0.0788795116293696
G2025002,STAND18,15406,345,415.4,0.20396699123857187
G2025003,STAND21,13987,385,386.9,0.0050128401073094835
G2025004,STAND3,18000,484,463.7,0.04199432171197192
G2025004,STAND18,18000,484,455.0,0.05998726640081912
G2025005,STAND4,15443,347,409.6,0.18050425784026394
G2025006,STAND13,14858,313,355.9,0.13696681087387175
G2025006,STAND15,14858,302,355.9,0.17837950928318494
G2025006,STAND22,14858,338,356.4,0.05448684880840864
G2025007,STAND10,16667,453,446.3,0.014885093598404382
G2025007,STAND1,16667,417,446.3,0.07016079760173337
G2025007,STAND16,16667,448,446.3,0.0038905075894580016
G2025007,STAND11,16667,446,446.3,0.0005763511209031732
G2025007,STAND5,16667,441,446.3,0.011920754194836316
G2025008,STAND19,15865,352,394.9,0.1219446672487007
G2025008,STAND8,15865,380,394.5,0.03809948516313823
G2025008,STAND2,15865,406,398.0,0.019812881758350682
G2025008,STAND14,15865,387,395.6,0.022190550720400548
G2025008,STAND24,15865,401,394.9,0.015150815781689154
G2025009,STAND3,15605,359,396.8,0.10538334057776257
G2025009,STAND18,15605,371,396.8,0.06962970152942523
G2025010,STAND21,18000,511,474.1,0.07212860291264901
G2025011,STAND21,14525,374,361.8,0.03259667374415514
G2025075,STAND18,18000,435,406.2,0.06624073236930102
G2025062,STAND18,18000,400,427.4,0.06859854903474939
G2025062,STAND3,18000,444,436.1,0.017684673776347287
G2025063,STAND18,17187,448,421.8,0.058371685020550804
G2025063,STAND3,17187,427,421.8,0.012062095759266419
G2025064,STAND17,15575,369,389.5,0.055557890263200196
G2025064,STAND9,15575,329,389.5,0.1838931960702762
G2025065,STAND13,14369,303,341.1,0.1257352485025859
G2025065,STAND15,14369,329,330.3,0.00405936273084929
G2025065,STAND22,14369,322,329.6,0.02366867232720561
G2025066,STAND8,16398,447,448.3,0.002821563285933826
G2025066,STAND2,16398,496,448.6,0.0956329457570739
G2025066,STAND24,16398,454,448.6,0.01196903325001907
G2025066,STAND19,16398,495,449.6,0.0917543861351513
G2025066,STAND14,16398,486,448.6,0.07702457015536761
G2025067,STAND18,14687,448,408.1,0.08905978769270297
G2025067,STAND3,14687,419,407.0,0.0287462017752571
G2025068,STAND15,18000,391,406.0,0.038451863022402874
G2025068,STAND22,18000,371,406.0,0.09443309553034912
G2025068,STAND13,18000,357,411.5,0.15274203563347963
G2025069,STAND19,11214,288,313.9,0.08999832740854548
G2025069,STAND2,11214,285,310.5,0.08947305562236212
G2025069,STAND8,11214,296,310.3,0.04815013510943723
G2025069,STAND24,11214,287,311.1,0.08381487069601036
G2025069,STAND14,11214,287,311.0,0.08361153303052242
G2025070,STAND7,14686,394,401.7,0.01952230471806817
G2025070,STAND20,14686,405,399.0,0.014911092450691785
G2025070,STAND12,14686,409,401.7,0.01786848885349912
G2025070,STAND6,14686,434,401.7,0.07444288465686899
G2025070,STAND23,14686,406,401.7,0.010611359460790986
G2025071,STAND14,14483,409,331.8,0.18872397028826762
G2025071,STAND8,14483,413,332.0,0.19620401933699183
G2025071,STAND2,14483,392,332.1,0.15283537016910265
G2025071,STAND24,14483,402,331.8,0.17459727325348623
G2025071,STAND19,14483,393,331.8,0.15569492073257368
G2025072,STAND4,17744,400,440.1,0.1002663290142641
G2025073,STAND17,18000,472,449.0,0.04879235407639027
G2025073,STAND9,18000,520,445.4,0.1433715380285781
G2025074,STAND4,17415,425,427.1,0.004992661879301148
G2025050,STAND9,18000,440,435.5,0.010229535712909668
G2025050,STAND17,18000,427,439.0,0.028155065426520264
G2025051,STAND15,14293,323,333.7,0.033104843689303706
G2025051,STAND13,14293,342,333.7,0.024289869848990942
G2025051,STAND22,14293,282,330.3,0.17123221345719986
G2025052,STAND15,13628,325,359.2,0.10513179405864671
G2025052,STAND22,13628,333,359.2,0.07858208128846901
G2025052,STAND13,13628,374,372.2,0.004801122430939071
G2025053,STAND9,16034,462,390.1,0.15567801275768908
G2025053,STAND17,16034,444,390.1,0.12144874300462241
G2025054,STAND15,16082,426,418.8,0.017016750383287354
G2025054,STAND13,16082,460,418.8,0.0896720340506096
G2025054,STAND22,16082,413,418.8,0.01392461098479319
G2025055,STAND22,16404,479,390.8,0.18419734019011633
G2025055,STAND13,16404,477,396.1,0.16951333935735544
G2025055,STAND15,16404,444,394.2,0.11221879647376345
G2025056,STAND21,15388,444,348.0,0.21613372475441908
G2025057,STAND11,16146,418,429.5,0.027516958587569022
G2025057,STAND5,16146,439,429.5,0.02163533328108462
G2025057,STAND10,16146,426,429.5,0.008220865468553643
G2025057,STAND1,16146,417,429.5,0.029981028032623147
G2025057,STAND16,16146,453,429.1,0.05265440258175865
G2025058,STAND3,14297,316,321.2,0.016451997551173585
G2025058,STAND18,14297,316,316.2,0.0007581112322174957
G2025059,STAND3,15014,398,335.3,0.15762126663117404
G2025059,STAND18,15014,427,333.1,0.219962104239202
G2025060,STAND6,12746,293,306.1,0.044643827561311765
G2025060,STAND20,12746,305,297.1,0.026013775589460244
G2025060,STAND12,12746,316,306.1,0.03139037507764447
G2025060,STAND23,12746,258,306.1,0.1863590754862959
G2025060,STAND7,12746,284,306.1,0.07774873758966319
G2025061,STAND5,18000,466,448.9,0.03671245920011805
G2025061,STAND10,18000,446,448.9,0.006484291508396833
G2025061,STAND16,18000,446,448.9,0.006484291508396833
G2025061,STAND11,18000,430,448.9,0.04393486979708137
G2025061,STAND1,18000,443,448.9,0.013300212218385976
G2025037,STAND4,13257,367,316.0,0.13904344817523184
G2025038,STAND22,13448,291,343.8,0.18152449916708094
G2025038,STAND15,13448,327,345.0,0.05502400624119839
G2025038,STAND13,13448,291,345.0,0.18554244000299613
G2025039,STAND4,13972,389,375.8,0.03402286909114824
G2025040,STAND4,14644,311,379.5,0.2201439034279828
G2025041,STAND1,15559,374,378.8,0.012764867979240566
G2025041,STAND16,15559,358,378.8,0.05802810230233511
G2025041,STAND5,15559,397,378.8,0.04590916719336027
G2025041,STAND11,15559,378,378.8,0.0020477794291956924
G2025041,STAND10,15559,373,378.8,0.015480055292857833
G2025042,STAND9,17902,350,416.6,0.19018134727871808
G2025042,STAND17,17902,383,416.6,0.08763308498055178
G2025043,STAND19,16041,415,380.6,0.08284416530146818
G2025043,STAND2,16041,391,380.7,0.026274453228461513
G2025043,STAND14,16041,417,381.2,0.08585013039576571
G2025043,STAND24,16041,402,383.0,0.04727903668643279
G2025043,STAND8,16041,392,378.9,0.033440404422727
G2025044,STAND13,17683,376,382.8,0.018083150331941147
G2025044,STAND15,17683,370,382.8,0.03459260682381046
G2025044,STAND22,17683,392,382.8,0.023471263967321757
G2025045,STAND13,13582,336,333.0,0.008925733392345253
G2025045,STAND22,13582,362,327.8,0.09457452239366228
G2025045,STAND15,13582,382,333.0,0.12826975502572777
G2025046,STAND9,15711,370,387.1,0.046240816948457025
G2025046,STAND17,15711,338,387.1,0.14529320198499734
G2025047,STAND1,13811,418,356.6,0.14694194468290597
G2025047,STAND5,13811,378,357.1,0.055314492169428686
G2025047,STAND16,13811,371,356.2,0.03982821007168524
G2025047,STAND10,13811,381,356.6,0.06409903642376562
G2025047,STAND11,13811,386,356.6,0.07622210590014171
G2025048,STAND21,17196,399,390.1,0.02242024297893571
G2025049,STAND3,16073,345,427.4,0.2389218883370404
G2025049,STAND18,16073,356,427.4,0.2006405940344914
G2025076,STAND3,15518,287,409.2,0.42575687450836086
G2025076,STAND18,15518,349,409.2,0.17247055296246294
G2025077,STAND18,17536,456,436.3,0.04316724397794496
G2025077,STAND3,17536,476,435.2,0.08577759855345525
G2025078,STAND5,13524,352,340.5,0.03276142086819078
G2025078,STAND11,13524,343,340.5,0.007381982931787625
G2025078,STAND16,13524,322,340.1,0.05625294035793889
G2025078,STAND10,13524,312,340.5,0.09124352517434886
G2025078,STAND1,13524,347,340.5,0.01882426554928863
G2025079,STAND6,14923,319,349.0,0.0941986149603474
G2025079,STAND23,14923,371,345.7,0.06826921975753088
G2025079,STAND20,14923,309,349.8,0.13195053076780316
G2025079,STAND12,14923,357,349.0,0.022270705399577533
G2025079,STAND7,14923,325,349.0,0.07399802514569484
G2025080,STAND9,15698,331,400.7,0.2106878245749884
G2025080,STAND17,15698,325,397.5,0.22306574825079348
G2025081,STAND9,14749,428,386.8,0.09627859934396976
G2025081,STAND17,14749,407,388.0,0.046654027830542635
G2025012,STAND16,18000,456,478.2,0.04862067950827085
G2025012,STAND5,18000,480,478.5,0.003071743927266605
G2025012,STAND10,18000,494,478.5,0.03132477142730358
G2025012,STAND11,18000,491,478.5,0.025406185509344134
G2025012,STAND1,18000,483,478.5,0.009263844896662465
G2025013,STAND16,15784,486,389.2,0.19927463965437742
G2025013,STAND1,15784,443,381.5,0.1388274303162228
G2025013,STAND11,15784,446,389.2,0.12746070599109288
G2025013,STAND5,15784,471,389.2,0.17377383200005822
G2025013,STAND10,15784,492,389.2,0.20903958307322645
G2025014,STAND21,15622,430,396.8,0.07713344356414707
G2025015,STAND5,16045,424,433.3,0.021940715654451725
G2025015,STAND16,16045,374,433.3,0.15856380598258699
G2025015,STAND11,16045,415,433.3,0.04410328539153622
G2025015,STAND10,16045,421,433.3,0.02922295353322454
G2025015,STAND1,16045,440,433.3,0.015220764914801066
G2025016,STAND20,15779,405,432.9,0.0689273926812978
G2025016,STAND23,15779,377,432.9,0.14831722555948437
G2025016,STAND12,15779,439,432.9,0.013859694678984949
G2025016,STAND6,15779,390,432.9,0.11003998470750156
G2025016,STAND7,15779,393,432.9,0.10156639703797865
G2025017,STAND11,14569,308,374.4,0.2155368172358198
G2025017,STAND10,14569,323,374.4,0.15908773903601392
G2025017,STAND5,14569,346,374.4,0.08203855407119219
G2025017,STAND1,14569,323,374.4,0.15908773903601392
G2025017,STAND16,14569,335,374.0,0.11650987059549844
G2025018,STAND24,17215,377,423.9,0.12445085892036953
G2025018,STAND8,17215,397,423.6,0.06703565163047957
G2025018,STAND19,17215,415,423.9,0.021489093525251354
G2025018,STAND14,17215,379,423.9,0.11851708130073697
G2025018,STAND2,17215,413,424.2,0.02710559940579307
G2025019,STAND18,17518,420,448.4,0.06762912216860029
G2025019,STAND3,17518,422,448.4,0.06256926850903347
G2025020,STAND13,16628,499,447.5,0.10327398767719193
G2025020,STAND22,16628,453,447.4,0.012351445329277686
G2025020,STAND15,16628,455,447.5,0.016557626045975323
G2025021,STAND21,17476,397,431.1,0.08581626859077868
G2025022,STAND21,15576,446,363.9,0.18418778728679214
G2025023,STAND18,16739,353,451.0,0.27760957074219333
G2025023,STAND3,16739,364,449.9,0.23585248575410017
G2025024,STAND4,16144,452,425.4,0.05886844895470269
G2025000,STAND10,14091,387,353.5,0.08665407690975353
G2025000,STAND11,14091,351,354.8,0.010727789708588998
G2025000,STAND1,14091,390,349.2,0.10451773594512893
G2025000,STAND5,14091,396,354.8,0.1041276409401143
G2025000,STAND16,14091,432,354.8,0.17878367086177144
G2025025,STAND22,17053,440,415.9,0.054724496763687756
G2025025,STAND13,17053,460,415.9,0.09582343168700569
G2025025,STAND15,17053,442,413.4,0.0647319733630899
G2025026,STAND3,16577,440,432.0,0.018076937610771764
G2025026,STAND18,16577,414,423.3,0.022554498120430862
G2025027,STAND21,16574,458,377.1,0.17668787180106468
G2025028,STAND21,14630,374,344.6,0.0786908544774988
G2025029,STAND18,17651,387,434.6,0.12300777405314732
G2025029,STAND3,17651,467,434.6,0.06937043135210276
G2025030,STAND3,14132,321,397.7,0.23904224490800177
G2025030,STAND18,14132,356,397.7,0.11722629386367577
G2025031,STAND19,14897,328,347.7,0.06015742199620056
G2025031,STAND2,14897,329,340.6,0.0351632864544179
G2025031,STAND14,14897,297,339.3,0.14227148991332675
G2025031,STAND8,14897,326,340.6,0.04489304883446058
G2025031,STAND24,14897,314,340.6,0.08482526726125525
G2025032,STAND2,14244,382,329.2,0.13832778604353607
G2025032,STAND24,14244,423,329.2,0.22184684224262596
G2025032,STAND19,14244,398,329.1,0.17305758455068096
G2025032,STAND8,14244,412,329.3,0.20069264661870617
G2025032,STAND14,14244,411,329.2,0.1991270420161333
G2025033,STAND4,18000,458,483.9,0.05650734410403687
G2025034,STAND18,17573,439,425.8,0.030151660410182173
G2025034,STAND3,17573,446,425.8,0.04537349533647976
G2025035,STAND7,13549,354,320.2,0.09534324229529029
G2025035,STAND20,13549,353,321.0,0.09073130860519094
G2025035,STAND6,13549,348,320.2,0.07974571199003667
G2025035,STAND12,13549,322,320.2,0.005439465132089321
G2025035,STAND23,13549,316,322.1,0.019392053621433043
G2025036,STAND12,13038,322,333.3,0.03508198766940641
G2025036,STAND23,13038,309,333.3,0.07862912630921962
G2025036,STAND6,13038,324,333.3,0.02869259268379279
G2025036,STAND20,13038,259,333.8,0.2889401557529134
G2025036,STAND7,13038,302,333.3,0.10363046367400286
G2025001,STAND21,15055,353,356.7,0.010567306973745071
G2025002,STAND17,15406,335,415.4,0.2399063044098725
G2025002,STAND9,15406,389,416.9,0.07177354772733356
G2025003,STAND23,13987,362,385.0,0.06342005324056563
G2025003,STAND7,13987,391,386.9,0.010409351812495776
G2025003,STAND20,13987,383,386.9,0.01026094893293512
G2025003,STAND6,13987,344,386.9,0.12479634721312254
G2025003,STAND12,13987,340,386.9,0.13802924541562986
G2025004,STAND17,18000,490,463.8,0.053490647459249994
G2025004,STAND9,18000,496,464.1,0.06435918452428581
G2025005,STAND8,15443,419,408.6,0.024746198073707572
G2025005,STAND2,15443,390,408.9,0.04855426441742423
G2025005,STAND24,15443,353,408.9,0.15845938561698428
G2025005,STAND19,15443,416,410.0,0.014539223362009105
G2025005,STAND14,15443,408,408.9,0.0022945174578319827
G2025006,STAND1,14858,337,354.0,0.05046691831720085
G2025006,STAND16,14858,324,355.9,0.09836608581333905
G2025006,STAND11,14858,318,355.9,0.1190899742249115
G2025006,STAND5,14858,356,355.9,0.0003634499901071524
G2025006,STAND10,14858,296,354.2,0.19658406137992435
G2025007,STAND13,16667,472,450.7,0.045051546696077784
G2025007,STAND22,16667,435,446.3,0.025878281838903023
G2025007,STAND15,16667,443,446.3,0.007352263205243376
G2025008,STAND4,15865,340,394.9,0.1615427143280666
G2025009,STAND17,15605,402,394.0,0.01995872493591663
G2025009,STAND9,15605,397,385.0,0.03029939228455517
G2025010,STAND23,18000,438,470.5,0.07425831592910151
G2025010,STAND20,18000,525,474.1,0.0968718401683117
G2025010,STAND7,18000,457,474.1,0.03751046807797889
G2025010,STAND6,18000,479,474.1,0.010141369704308236
G2025010,STAND12,18000,492,477.1,0.030227388237703365
G2025011,STAND6,14525,351,361.8,0.030794427406512757
G2025011,STAND20,14525,342,361.8,0.05792059654878941
G2025011,STAND7,14525,349,361.8,0.03670155879566183
G2025011,STAND23,14525,398,343.6,0.1367991763529654
G2025011,STAND12,14525,351,361.8,0.030794427406512757
G2025075,STAND17,18000,431,406.4,0.05702656386803596
G2025075,STAND9,18000,419,405.0,0.03336271487358389
G2025062,STAND9,18000,430,436.6,0.01523511866941965
G2025062,STAND17,18000,480,436.3,0.09111908479820059
G2025063,STAND17,17187,454,421.8,0.07081611209076379
G2025063,STAND9,17187,399,421.8,0.05726687997692541
G2025064,STAND18,15575,367,389.5,0.06131024933820402
G2025064,STAND3,15575,366,389.5,0.06421000411781659
G2025065,STAND10,14369,327,329.0,0.006223083751254013
G2025065,STAND16,14369,329,330.3,0.00405936273084929
G2025065,STAND1,14369,336,330.3,0.016858540659376735
G2025065,STAND11,14369,311,330.3,0.06217212327475696
G2025065,STAND5,14369,331,330.3,0.0020074612131437573
G2025066,STAND4,16398,426,448.6,0.052991879862495705
G2025067,STAND9,14687,412,408.1,0.009463070112453712
G2025067,STAND17,14687,397,408.1,0.02796275847271806
G2025068,STAND11,18000,414,406.0,0.019239907145508394
G2025068,STAND1,18000,401,406.0,0.012555307834811782
G2025068,STAND5,18000,419,406.0,0.030943488205824522
G2025068,STAND16,18000,404,405.7,0.004158775699551987
G2025068,STAND10,18000,379,406.0,0.0713316053872283
G2025069,STAND4,11214,284,311.1,0.09526361933012314
G2025070,STAND21,14686,425,401.7,0.05484285162607327
G2025071,STAND4,14483,380,332.2,0.12591062617252094
G2025072,STAND8,17744,452,448.7,0.007342294617217249
G2025072,STAND19,17744,447,440.1,0.015421629517437046
G2025072,STAND24,17744,428,440.1,0.028286288798377666
G2025072,STAND14,17744,420,440.4,0.04858161351210277
G2025072,STAND2,17744,408,441.4,0.0818659971245267
G2025073,STAND18,18000,472,445.4,0.05625677918402673
G2025073,STAND3,18000,508,445.4,0.12313622002925319
G2025074,STAND14,17415,426,427.8,0.004190379239331808
G2025074,STAND2,17415,450,427.1,0.05081205995328396
G2025074,STAND8,17415,391,426.7,0.09124082554770553
G2025074,STAND19,17415,422,427.1,0.012137159475599497
G2025074,STAND24,17415,415,427.1,0.02920935252699515
G2025050,STAND3,18000,399,435.5,0.09147620121884648
G2025050,STAND18,18000,419,435.5,0.039377098535369325
G2025051,STAND5,14293,303,333.7,0.10129658254668349
G2025051,STAND16,14293,309,333.7,0.07991218288558284
G2025051,STAND11,14293,312,333.7,0.0695284118962984
G2025051,STAND1,14293,264,333.7,0.26398812315017084
G2025051,STAND10,14293,260,333.7,0.28343409427555805
G2025052,STAND5,13628,357,359.2,0.006072361537983697
G2025052,STAND10,13628,338,359.2,0.06262672505639107
G2025052,STAND11,13628,343,359.2,0.047136539559942216
G2025052,STAND1,13628,346,359.2,0.03805732100884445
G2025052,STAND16,13628,307,359.2,0.16992779501322533
G2025053,STAND3,16034,421,390.1,0.07345188098349728
G2025053,STAND18,16034,408,397.1,0.0266483924960962
G2025054,STAND16,16082,444,418.8,0.05686742266504598
G2025054,STAND1,16082,423,418.8,0.010045237974658186
G2025054,STAND11,16082,438,418.8,0.04394779831799181
G2025054,STAND5,16082,403,419.3,0.0405377950164272
G2025054,STAND10,16082,443,416.1,0.060764710851770334
G2025055,STAND1,16404,435,394.2,0.09385090950425512
G2025055,STAND5,16404,442,394.2,0.10820168695554519
G2025055,STAND16,16404,476,394.2,0.17190156645872054
G2025055,STAND10,16404,442,394.2,0.10820168695554519
G2025055,STAND11,16404,461,394.2,0.14495693196171577
G2025056,STAND7,15388,465,348.0,0.25153413718486467
G2025056,STAND6,15388,427,348.0,0.1849259339366793
G2025056,STAND23,15388,441,348.0,0.21080130111329268
G2025056,STAND12,15388,414,348.0,0.1593318207511161
G2025056,STAND20,15388,419,348.0,0.1693636605989548
G2025057,STAND15,16146,405,429.5,0.060498984418774944
G2025057,STAND13,16146,428,433.8,0.013503645467859574
G2025057,STAND22,16146,459,429.5,0.06426560198343387
G2025058,STAND17,14297,299,316.2,0.05765740183739374
G2025058,STAND9,14297,302,316.2,0.047150871355565324
G2025059,STAND17,15014,410,333.1,0.187619069536925
G2025059,STAND9,15014,393,333.1,0.15247790969501082
G2025060,STAND21,12746,317,306.1,0.034445925944907425
G2025061,STAND15,18000,452,448.9,0.006876119440829673
G2025061,STAND13,18000,444,448.9,0.011018004533209431
G2025061,STAND22,18000,483,439.5,0.09008148736034646
G2025037,STAND19,13257,345,316.8,0.08174782537500498
G2025037,STAND8,13257,335,315.6,0.05777148248837946
G2025037,STAND24,13257,341,317.2,0.06992335722983742
G2025037,STAND2,13257,378,315.5,0.16521460604887037
G2025037,STAND14,13257,365,315.3,0.13624043788516774
G2025038,STAND1,13448,285,346.1,0.2144750220998232
G2025038,STAND11,13448,310,345.0,0.11288016142216734
G2025038,STAND10,13448,276,342.9,0.24222046083896362
G2025038,STAND16,13448,324,342.5,0.05717442556593588
G2025038,STAND5,13448,312,345.6,0.10783561637230085
G2025039,STAND14,13972,382,378.6,0.00901592143472385
G2025039,STAND2,13972,371,374.8,0.010350091173988999
G2025039,STAND24,13972,343,375.8,0.09552508432519922
G2025039,STAND8,13972,365,371.1,0.01679522095532043
G2025039,STAND19,13972,373,375.8,0.007413147248105458
G2025040,STAND8,14644,311,379.5,0.2201439034279828
G2025040,STAND24,14644,297,379.5,0.27765910426297186
G2025040,STAND19,14644,343,379.5,0.1063112360527774
G2025040,STAND2,14644,323,379.8,0.17586598769654127
G2025040,STAND14,14644,329,376.8,0.1453193425347502
G2025041,STAND22,15559,370,373.4,0.009274103967540692
G2025041,STAND13,15559,374,378.8,0.012764867979240566
G2025041,STAND15,15559,357,380.8,0.06678355229337396
G2025042,STAND18,17902,365,416.6,0.14126978506178448
G2025042,STAND3,17902,366,417.8,0.14163622948086468
G2025043,STAND4,16041,410,380.6,0.07165933804904706
G2025044,STAND1,17683,420,382.8,0.08857317970283364
G2025044,STAND11,17683,389,384.7,0.011085549615219755
G2025044,STAND5,17683,421,383.4,0.08934648080828872
G2025044,STAND16,17683,399,382.8,0.04060334705561436
G2025044,STAND10,17683,411,381.5,0.07174885539644316
G2025045,STAND5,13582,372,333.0,0.10483614628986022
G2025045,STAND16,13582,355,329.4,0.07203107402816293
G2025045,STAND10,13582,347,332.1,0.04301330946104866
G2025045,STAND11,13582,342,333.0,0.026313001227567266
G2025045,STAND1,13582,350,333.0,0.048568704056651445
G2025046,STAND3,15711,415,387.1,0.06720698247968891
G2025046,STAND18,15711,374,387.1,0.035051075590719516
G2025047,STAND15,13811,388,356.6,0.08098384762230593
G2025047,STAND22,13811,389,356.6,0.08334635701145167
G2025047,STAND13,13811,390,358.8,0.0800709634737104
G2025048,STAND23,17196,399,387.1,0.029757698466791202
G2025048,STAND20,17196,405,390.1,0.03690290604591444
G2025048,STAND12,17196,356,390.1,0.09565821081855239
G2025048,STAND7,17196,392,392.3,0.0008215025711999321
G2025048,STAND6,17196,375,390.1,0.0401448614704124
G2025049,STAND9,16073,352,427.4,0.21423995599989595
G2025049,STAND17,16073,389,425.3,0.09344260393828695
G2025076,STAND23,15518,340,407.7,0.1991225338059509
G2025076,STAND6,15518,319,409.2,0.2827342413288388
G2025076,STAND7,15518,325,409.2,0.25905299379661406
G2025076,STAND12,15518,303,411.5,0.35822599785362447
G2025076,STAND20,15518,345,409.2,0.1860644144460857
G2025077,STAND12,17536,444,436.3,0.01730689922059212
G2025077,STAND20,17536,443,436.3,0.01508863037007427
G2025077,STAND6,17536,443,436.3,0.01508863037007427
G2025077,STAND7,17536,455,436.3,0.04106431484383055
G2025077,STAND23,17536,424,436.3,0.02904654892937995
