sth_account_id,fan_id,membership_tier,tenure_years,predicted_annual_spend,churn_probability,implied_lifetime_years,clv
STH501196,TF103529,Gold,7,7380.296696812288,0.02,12.0,88564.0
STH507632,TF122473,Bronze,2,7379.916050690936,0.02,12.0,88559.0
STH500792,TF102294,Gold,4,7379.57656243644,0.02,12.0,88555.0
STH500423,TF101184,Gold,2,7379.525109754578,0.02,12.0,88554.0
STH500253,TF100682,Bronze,9,7379.428523087516,0.02,12.0,88553.0
STH503996,TF111711,Bronze,8,7379.304188106011,0.02,12.0,88552.0
STH506078,TF118091,Silver,4,7379.14337459806,0.02,12.0,88550.0
STH504537,TF113347,Gold,5,7378.847615420348,0.02,12.0,88546.0
STH506606,TF119595,Silver,8,7378.547598721416,0.02,12.0,88543.0
STH504462,TF113116,Bronze,5,7377.72677992609,0.02,12.0,88533.0
STH500798,TF102305,Bronze,2,7377.652640088936,0.02,12.0,88532.0
STH500740,TF102148,Gold,6,7377.531705167856,0.02,12.0,88530.0
STH506385,TF118979,Gold,4,7377.182012417329,0.02,12.0,88526.0
STH504859,TF114384,Bronze,8,7377.103436448508,0.02,12.0,88525.0
STH506865,TF120335,Silver,8,7377.010189391707,0.02,12.0,88524.0
STH502399,TF106984,Gold,7,7376.8027581517645,0.02,12.0,88522.0
STH503515,TF110299,Gold,5,7376.72324285424,0.02,12.0,88521.0
STH504287,TF112572,Silver,5,7376.653426943875,0.02,12.0,88520.0
STH504743,TF113988,Bronze,5,7376.577100434268,0.02,12.0,88519.0
STH501120,TF103277,Silver,5,7376.213675924465,0.02,12.0,88515.0
STH503275,TF109523,Bronze,5,7376.105715208076,0.02,12.0,88513.0
STH502073,TF106062,Silver,6,7375.924479927783,0.02,12.0,88511.0
STH502832,TF108245,Bronze,6,7375.8481534181765,0.02,12.0,88510.0
STH504772,TF114106,Gold,7,7375.265348822056,0.02,12.0,88503.0
STH502966,TF108602,Gold,2,7375.220505620377,0.02,12.0,88503.0
STH507388,TF121821,Gold,7,7374.995171369053,0.02,12.0,88500.0
STH503296,TF109595,Bronze,9,7374.810991861722,0.02,12.0,88498.0
STH503717,TF110858,Silver,6,7374.778505141753,0.02,12.0,88497.0
STH506706,TF119879,Silver,8,7374.607748913525,0.02,12.0,88495.0
STH502099,TF106158,Silver,7,7374.049558125661,0.02,12.0,88489.0
STH508478,TF124941,Silver,9,7373.9579417541545,0.02,12.0,88487.0
STH503672,TF110742,Bronze,9,7373.661312369901,0.02,12.0,88484.0
STH504341,TF112737,Gold,9,7373.53727733687,0.02,12.0,88482.0
STH508440,TF124811,Silver,7,7373.192284321588,0.02,12.0,88478.0
STH500831,TF102417,Silver,4,7372.814717312528,0.02,12.0,88474.0
STH508008,TF123563,Bronze,5,7372.768392107711,0.02,12.0,88473.0
STH505434,TF116173,Gold,5,7371.026711276206,0.02,12.0,88452.0
STH500257,TF100700,Silver,9,7370.584710797582,0.02,12.0,88447.0
STH502290,TF106670,Bronze,8,7370.583261833639,0.02,12.0,88447.0
STH507542,TF122251,Silver,4,7370.420737551485,0.02,12.0,88445.0
STH503132,TF109101,Gold,8,7369.812633299098,0.02,12.0,88438.0
STH500068,TF100217,Gold,9,7369.26060270366,0.02,12.0,88431.0
STH501477,TF104308,Silver,3,7367.830601838785,0.02,12.0,88414.0
STH501639,TF104795,Silver,8,7367.504949487117,0.02,12.0,88410.0
STH501387,TF104057,Gold,9,7366.696194646324,0.02,12.0,88400.0
STH507173,TF121212,Gold,8,7366.1266931654145,0.02,12.0,88394.0
STH506375,TF118951,Gold,5,7364.824023188607,0.02,12.0,88378.0
STH507682,TF122630,Gold,5,7362.430043427563,0.02,12.0,88349.0
STH504122,TF112073,Platinum,8,7312.041591567395,0.02,12.0,87744.0
STH501906,TF105603,Platinum,5,7310.221935435463,0.02,12.0,87723.0
STH507481,TF122085,Bronze,4,7310.063701641361,0.02,12.0,87721.0
STH502746,TF107974,Bronze,7,7307.876860593085,0.026000000000000002,12.0,87695.0
STH507191,TF121273,Silver,4,7307.45278402899,0.02,12.0,87689.0
STH502477,TF107237,Silver,5,7306.9940144659,0.02,12.0,87684.0
STH504474,TF113150,Bronze,9,7306.418966560901,0.02,12.0,87677.0
STH507270,TF121476,Platinum,7,7306.3974208851605,0.02,12.0,87677.0
STH508205,TF124120,Platinum,4,7306.096517439311,0.02,12.0,87673.0
STH502203,TF106424,Platinum,4,7305.090323272912,0.02,12.0,87661.0
STH501110,TF103248,Platinum,8,7303.180729374943,0.02,12.0,87638.0
STH500208,TF100564,Bronze,3,7302.3974704249495,0.02,12.0,87629.0
STH504416,TF112986,Platinum,8,7302.1745352085445,0.02,12.0,87626.0
STH507613,TF122431,Platinum,5,7302.041364069097,0.02,12.0,87624.0
STH506859,TF120310,Silver,6,7301.743105678948,0.02,12.0,87621.0
STH503697,TF110813,Bronze,6,7301.673523060773,0.02,12.0,87620.0
STH507524,TF122198,Bronze,6,7301.133168154768,0.02,12.0,87614.0
STH502874,TF108347,Platinum,9,7299.638001409742,0.02,12.0,87596.0
STH500609,TF101717,Platinum,6,7299.551416414912,0.02,12.0,87595.0
STH503037,TF108829,Platinum,7,7298.589627418845,0.02,12.0,87583.0
STH500431,TF101211,Gold,6,7298.433895418845,0.02,12.0,87581.0
STH507183,TF121238,Bronze,3,7297.617776358765,0.02,12.0,87571.0
STH508436,TF124790,Gold,4,7297.581027934895,0.02,12.0,87571.0
STH506988,TF120658,Bronze,8,7296.824157700445,0.02,12.0,87562.0
STH500118,TF100323,Bronze,4,7296.581316416641,0.02,12.0,87559.0
STH502234,TF106514,Silver,5,7296.074133424476,0.02,12.0,87553.0
STH502493,TF107276,Platinum,8,7295.91335737197,0.02,12.0,87551.0
STH500575,TF101627,Gold,2,7295.787186887008,0.02,12.0,87549.0
STH506957,TF120570,Bronze,2,7295.56457663253,0.02,12.0,87547.0
STH504726,TF113934,Bronze,8,7295.605508528811,0.02,12.0,87547.0
STH505620,TF116773,Platinum,9,7294.8209718705275,0.02,12.0,87538.0
STH507429,TF121928,Silver,2,7294.729766896533,0.02,12.0,87537.0
STH500714,TF102073,Bronze,7,7294.562252046323,0.02,12.0,87535.0
STH506792,TF120131,Platinum,7,7294.480529791589,0.02,12.0,87534.0
STH500780,TF102271,Silver,3,7294.000819880441,0.02,12.0,87528.0
STH503010,TF108741,Platinum,2,7293.8879222723235,0.02,12.0,87527.0
STH506028,TF117959,Silver,4,7293.743258090542,0.02,12.0,87525.0
STH504428,TF113016,Bronze,9,7293.175124582402,0.02,12.0,87518.0
STH501052,TF103076,Gold,4,7292.970907435117,0.02,12.0,87516.0
STH507754,TF122798,Silver,8,7292.528906956492,0.02,12.0,87510.0
STH500761,TF102224,Silver,2,7292.487975060211,0.02,12.0,87510.0
STH504040,TF111849,Platinum,9,7292.277368374419,0.02,12.0,87507.0
STH504882,TF114449,Silver,2,7291.999796636177,0.02,12.0,87504.0
STH508165,TF124024,Bronze,2,7291.945809290209,0.02,12.0,87503.0
STH505769,TF117176,Bronze,2,7291.839659437816,0.02,12.0,87502.0
STH504920,TF114568,Silver,7,7291.485650474005,0.02,12.0,87498.0
STH507392,TF121828,Silver,2,7291.338295568389,0.02,12.0,87496.0
STH500542,TF101534,Gold,4,7291.030927258579,0.02,12.0,87492.0
STH507504,TF122132,Silver,8,7290.896439705986,0.02,12.0,87491.0
STH500573,TF101623,Silver,4,7290.541902603994,0.02,12.0,87487.0
STH505871,TF117455,Silver,4,7290.541902603994,0.02,12.0,87487.0
STH506908,TF120443,Platinum,8,7290.462711894403,0.02,12.0,87486.0
STH501481,TF104326,Bronze,5,7290.103082216961,0.02,12.0,87481.0
STH502357,TF106884,Bronze,9,7289.973769095852,0.02,12.0,87480.0
STH502009,TF105889,Silver,6,7289.917035394903,0.02,12.0,87479.0
STH507137,TF121095,Gold,2,7289.716649464107,0.02,12.0,87477.0
STH507063,TF120879,Bronze,3,7289.75013208399,0.02,12.0,87477.0
STH500352,TF100966,Silver,2,7289.774797997696,0.02,12.0,87477.0
STH504525,TF113315,Bronze,3,7289.654562629056,0.02,12.0,87476.0
STH501634,TF104787,Silver,2,7289.45617095429,0.02,12.0,87473.0
STH507840,TF123043,Bronze,9,7289.312268028064,0.02,12.0,87472.0
STH500030,TF100075,Bronze,2,7288.815220371921,0.02,12.0,87466.0
STH507407,TF121875,Bronze,8,7288.578321360056,0.02,12.0,87463.0
STH503030,TF108799,Gold,6,7288.607540430491,0.02,12.0,87463.0
STH508079,TF123774,Bronze,7,7288.3010742097495,0.02,12.0,87460.0
STH501265,TF103737,Silver,4,7288.316903965511,0.02,12.0,87460.0
STH508412,TF124727,Bronze,4,7288.167903070302,0.02,12.0,87458.0
STH501529,TF104471,Silver,8,7288.114292963659,0.02,12.0,87457.0
STH506252,TF118568,Bronze,2,7288.0850993390395,0.02,12.0,87457.0
STH507923,TF123305,Silver,4,7287.998276922107,0.02,12.0,87456.0
STH500520,TF101480,Silver,7,7287.693560487929,0.02,12.0,87452.0
STH507325,TF121632,Bronze,6,7287.563291035714,0.02,12.0,87451.0
STH501401,TF104093,Silver,5,7287.587956949419,0.02,12.0,87451.0
STH501584,TF104633,Bronze,2,7287.425045444983,0.02,12.0,87449.0
STH501836,TF105381,Bronze,2,7287.425045444983,0.02,12.0,87449.0
STH501239,TF103645,Silver,9,7286.897167523533,0.02,12.0,87443.0
STH503345,TF109738,Silver,6,7286.859009933328,0.02,12.0,87442.0
STH500360,TF101000,Bronze,9,7286.843180177565,0.02,12.0,87442.0
STH506671,TF119796,Bronze,2,7286.718821678362,0.02,12.0,87441.0
STH506438,TF119114,Silver,7,7286.130062917236,0.02,12.0,87434.0
STH502295,TF106695,Bronze,8,7286.034717863949,0.02,12.0,87432.0
STH505386,TF116021,Silver,4,7285.94458349558,0.02,12.0,87431.0
STH500863,TF102525,Gold,4,7285.843116379768,0.02,12.0,87430.0
STH502379,TF106924,Silver,3,7285.8202485140755,0.02,12.0,87430.0
STH503426,TF110013,Silver,5,7285.144957339907,0.02,12.0,87422.0
STH500672,TF101900,Silver,4,7285.091301497983,0.02,12.0,87421.0
STH502304,TF106724,Silver,8,7285.082488857739,0.02,12.0,87421.0
STH500851,TF102490,Silver,6,7285.031036175877,0.02,12.0,87420.0
STH507623,TF122451,Bronze,2,7284.711868382467,0.02,12.0,87417.0
STH505395,TF116051,Gold,3,7284.744089638409,0.02,12.0,87417.0
STH502037,TF105975,Bronze,6,7284.71616642005,0.02,12.0,87417.0
STH504084,TF111963,Gold,9,7284.786729680027,0.02,12.0,87417.0
STH501312,TF103854,Bronze,3,7284.592245952192,0.02,12.0,87415.0
STH508169,TF124034,Bronze,7,7284.477793679259,0.02,12.0,87414.0
STH500471,TF101347,Silver,8,7284.389375768946,0.02,12.0,87413.0
STH503483,TF110181,Silver,9,7284.353541841647,0.02,12.0,87412.0
STH503744,TF110945,Bronze,7,7284.220061383932,0.02,12.0,87411.0
STH505694,TF116992,Bronze,2,7284.240483156274,0.02,12.0,87411.0
STH500835,TF102433,Gold,3,7283.868605199624,0.02,12.0,87406.0
STH505712,TF117031,Silver,9,7283.766578605247,0.02,12.0,87405.0
STH505400,TF116067,Silver,4,7283.588033155216,0.02,12.0,87403.0
STH502502,TF107301,Gold,4,7283.4001167702545,0.02,12.0,87401.0
STH500156,TF100429,Gold,5,7283.286195606225,0.02,12.0,87399.0
STH508196,TF124106,Bronze,8,7283.051363348431,0.02,12.0,87397.0
STH505692,TF116989,Silver,8,7283.0287954312125,0.02,12.0,87396.0
STH506650,TF119736,Silver,8,7282.95811629163,0.02,12.0,87395.0
STH508304,TF124405,Silver,2,7282.897755370312,0.02,12.0,87395.0
STH503896,TF111404,Silver,7,7282.904460449708,0.02,12.0,87395.0
