sth_account_id,fan_id,churn_risk_score,reason_codes,prior_season_renewal_status
STH500475,TF101367,0.1,"tenure, low spend per game",renewed
STH501366,TF104006,0.1,no dominant single factor,renewed
STH503274,TF109520,0.1,low email engagement,renewed
STH504673,TF113744,0.1,tenure,renewed
STH506835,TF120256,0.4,low email engagement,renewed
STH501410,TF104135,0.1,"tenure, long gap since last game attended",renewed
STH506304,TF118718,0.1,no dominant single factor,renewed
STH507737,TF122757,0.2,low email engagement,renewed
STH506295,TF118686,0.2,tenure,renewed
STH503043,TF108850,0.1,long gap since last game attended,renewed
STH507928,TF123313,0.4,tenure,renewed
STH505503,TF116391,0.5,low spend per game,renewed
STH504594,TF113534,0.2,low email engagement,renewed
STH505474,TF116304,0.4,tenure,renewed
STH503931,TF111498,36.4,"low total spend, low game attendance",renewed
STH501780,TF105216,0.4,"tenure, few emails received",renewed
STH504772,TF114106,0.1,tenure,renewed
STH501406,TF104123,2.7,no dominant single factor,renewed
STH504810,TF114209,0.4,"low email engagement, low spend per game",renewed
STH505524,TF116445,3.2,few emails received,renewed
STH503199,TF109303,0.1,tenure,renewed
STH507520,TF122187,0.1,"tenure, few emails received",renewed
STH504131,TF112098,0.0,no dominant single factor,renewed
STH501158,TF103409,0.1,"tenure, low email engagement",renewed
STH500153,TF100419,17.7,"low total spend, tenure",renewed
STH502030,TF105954,0.1,few emails received,renewed
STH502378,TF106923,0.1,low email engagement,renewed
STH501883,TF105542,0.1,no dominant single factor,renewed
STH505452,TF116238,0.1,low spend per game,renewed
STH504576,TF113477,0.5,low email engagement,renewed
STH503081,TF108960,45.4,"low total spend, low game attendance",renewed
STH504074,TF111947,0.1,no dominant single factor,renewed
STH502084,TF106110,0.1,tenure,renewed
STH504526,TF113316,0.3,tenure,renewed
STH501081,TF103168,0.2,low email engagement,renewed
STH500676,TF101909,0.0,no dominant single factor,renewed
STH507436,TF121943,0.2,few emails received,renewed
STH503809,TF111131,0.3,"few emails received, low spend per game",renewed
STH506342,TF118860,0.1,low spend per game,renewed
STH501699,TF104974,0.1,"tenure, low spend per game",renewed
STH508440,TF124811,0.2,tenure,renewed
STH502878,TF108357,5.1,"few emails received, low email engagement",renewed
STH500925,TF102692,0.1,no dominant single factor,renewed
STH503691,TF110797,0.2,"low email engagement, tenure",renewed
STH507537,TF122235,0.1,tenure,renewed
STH504245,TF112461,0.1,tenure,renewed
STH500663,TF101868,0.1,no dominant single factor,renewed
STH504208,TF112323,0.1,"low spend per game, few emails received",renewed
STH500914,TF102662,0.1,low email engagement,renewed
STH504262,TF112508,0.1,tenure,renewed
STH505448,TF116229,0.1,no dominant single factor,renewed
STH505976,TF117794,0.1,tenure,renewed
STH506973,TF120623,0.1,no dominant single factor,renewed
STH501205,TF103555,0.2,no dominant single factor,renewed
STH502079,TF106100,0.1,few emails received,renewed
STH500899,TF102629,97.7,"low total spend, low game attendance",not_renewed
STH505305,TF115757,45.7,"low total spend, low game attendance",renewed
STH502293,TF106686,1.7,"low email engagement, low spend per game",renewed
STH507344,TF121686,0.2,"low spend per game, low email engagement",renewed
STH500755,TF102189,0.1,low spend per game,renewed
STH503426,TF110013,0.1,no dominant single factor,renewed
STH501335,TF103923,0.1,no dominant single factor,renewed
STH503181,TF109263,0.3,low spend per game,renewed
STH507887,TF123198,0.1,low spend per game,renewed
STH500235,TF100640,0.1,"tenure, few emails received",renewed
STH502290,TF106670,0.4,low email engagement,renewed
STH503899,TF111410,0.1,tenure,renewed
STH507096,TF120985,0.1,low spend per game,renewed
STH504374,TF112864,0.9,low spend per game,renewed
STH504635,TF113641,0.1,no dominant single factor,renewed
STH506782,TF120096,96.3,"low total spend, low game attendance",not_renewed
STH505941,TF117687,96.3,"low total spend, low game attendance",not_renewed
STH500882,TF102577,0.1,low spend per game,renewed
STH507378,TF121781,0.1,low spend per game,renewed
STH501090,TF103194,0.2,few emails received,renewed
STH507805,TF122945,0.1,low email engagement,renewed
STH504254,TF112486,0.1,low email engagement,renewed
STH500192,TF100511,0.1,no dominant single factor,renewed
STH507004,TF120707,0.3,tenure,renewed
STH502719,TF107892,0.2,low spend per game,renewed
STH506292,TF118680,0.1,no dominant single factor,renewed
STH502811,TF108171,0.1,low email engagement,renewed
STH502617,TF107610,3.3,low game attendance,renewed
STH506867,TF120345,0.1,no dominant single factor,renewed
STH505155,TF115300,0.1,no dominant single factor,renewed
STH507612,TF122428,0.1,"few emails received, low email engagement",renewed
STH505084,TF115082,0.1,tenure,renewed
STH507071,TF120907,0.1,no dominant single factor,renewed
STH504411,TF112975,0.1,"tenure, low spend per game",renewed
STH505780,TF117200,2.7,tenure,renewed
STH506151,TF118249,0.1,few emails received,renewed
STH508353,TF124536,0.3,"low spend per game, tenure",renewed
STH506644,TF119720,0.1,no dominant single factor,renewed
STH500064,TF100204,68.5,"low total spend, low game attendance",not_renewed
STH504688,TF113793,0.2,tenure,renewed
STH506700,TF119863,2.4,tenure,renewed
STH501449,TF104237,0.1,no dominant single factor,renewed
STH504119,TF112066,0.3,"low spend per game, tenure",renewed
STH501653,TF104839,0.2,"few emails received, tenure",renewed
STH501966,TF105766,0.1,tenure,renewed
STH504551,TF113391,0.1,few emails received,renewed
STH502585,TF107516,0.2,low spend per game,renewed
STH505262,TF115648,0.3,"low email engagement, low spend per game",renewed
STH505727,TF117068,5.3,few emails received,renewed
STH502880,TF108359,0.1,no dominant single factor,renewed
STH508256,TF124254,0.1,low spend per game,renewed
STH504207,TF112322,0.2,low spend per game,renewed
STH506727,TF119934,2.4,low email engagement,renewed
STH504554,TF113398,68.9,"low total spend, low game attendance",not_renewed
STH505525,TF116449,0.1,"low spend per game, tenure",renewed
STH507912,TF123265,61.5,"low game attendance, low total spend",not_renewed
STH502735,TF107942,4.8,low email engagement,renewed
STH507386,TF121812,0.1,few emails received,renewed
STH501092,TF103199,0.1,no dominant single factor,renewed
STH500710,TF102055,97.9,"low total spend, low game attendance",not_renewed
STH507289,TF121514,0.1,no dominant single factor,renewed
STH506091,TF118115,0.1,"low email engagement, few emails received",renewed
STH505922,TF117631,0.1,few emails received,renewed
STH507811,TF122963,2.6,"low email engagement, tenure",renewed
STH506587,TF119545,0.3,low spend per game,renewed
STH502343,TF106849,0.6,"few emails received, tenure",renewed
STH506537,TF119414,2.7,low email engagement,renewed
STH508025,TF123610,0.2,no dominant single factor,renewed
STH505794,TF117248,0.0,no dominant single factor,renewed
STH502256,TF106556,0.2,tenure,renewed
STH505791,TF117237,0.2,tenure,renewed
STH505726,TF117067,0.4,low spend per game,renewed
STH501253,TF103697,0.2,low email engagement,renewed
STH501224,TF103605,0.2,few emails received,renewed
STH507582,TF122348,0.2,low email engagement,renewed
STH504722,TF113924,0.1,low email engagement,renewed
STH508024,TF123606,0.1,tenure,renewed
STH502997,TF108711,0.2,no dominant single factor,renewed
STH508204,TF124119,0.0,few emails received,renewed
STH503213,TF109353,96.3,"low total spend, low game attendance",not_renewed
STH508342,TF124505,0.1,"low spend per game, tenure",renewed
STH507100,TF121000,28.0,"low game attendance, low total spend",not_renewed
STH505224,TF115514,1.7,"tenure, few emails received",renewed
STH508468,TF124908,1.7,"long gap since last game attended, low email engagement",renewed
STH503934,TF111501,0.1,no dominant single factor,renewed
STH500172,TF100472,0.7,"low spend per game, tenure",renewed
STH505156,TF115302,59.1,"low email engagement, tenure",not_renewed
STH507405,TF121869,0.4,"low spend per game, tenure",renewed
STH500183,TF100494,53.7,"low game attendance, low total spend",not_renewed
STH506346,TF118871,9.8,"low game attendance, low total spend",renewed
STH507652,TF122528,0.3,tenure,renewed
STH500163,TF100444,0.1,low email engagement,renewed
STH507312,TF121595,2.2,"tenure, low spend per game",renewed
STH506907,TF120439,0.1,tenure,renewed
STH501429,TF104179,0.1,tenure,renewed
STH507730,TF122743,64.0,"low total spend, low game attendance",not_renewed
STH502342,TF106847,15.0,"low total spend, long gap since last game attended",renewed
STH502357,TF106884,0.2,"few emails received, low spend per game",renewed
STH505654,TF116883,0.2,"tenure, low email engagement",renewed
STH505606,TF116716,0.1,low spend per game,renewed
STH503119,TF109058,0.3,"few emails received, tenure",renewed
STH502149,TF106304,0.6,few emails received,renewed
STH500511,TF101457,0.3,low email engagement,renewed
STH500949,TF102762,0.6,"tenure, few emails received",renewed
STH503234,TF109403,1.0,no dominant single factor,renewed
STH504381,TF112888,0.2,long gap since last game attended,renewed
STH500103,TF100301,0.2,"tenure, low spend per game",renewed
STH506014,TF117912,0.3,no dominant single factor,renewed
STH504837,TF114282,0.4,tenure,renewed
STH501035,TF103035,4.1,"low email engagement, low spend per game",renewed
STH507570,TF122327,0.1,low email engagement,renewed
STH503524,TF110324,0.3,few emails received,renewed
STH506387,TF118981,0.1,no dominant single factor,renewed
STH502790,TF108098,7.6,"low email engagement, few emails received",renewed
STH501982,TF105822,0.0,no dominant single factor,renewed
STH505446,TF116221,0.2,"tenure, low spend per game",renewed
STH501403,TF104096,0.6,few emails received,renewed
STH507176,TF121227,0.1,no dominant single factor,renewed
STH504061,TF111905,0.2,low email engagement,renewed
STH507744,TF122780,0.1,low email engagement,renewed
STH507870,TF123135,8.9,low email engagement,renewed
STH501874,TF105511,0.0,tenure,renewed
STH500582,TF101644,0.1,low email engagement,renewed
STH504630,TF113625,1.7,low spend per game,renewed
STH500233,TF100636,0.1,long gap since last game attended,renewed
STH505589,TF116655,1.5,tenure,renewed
STH504216,TF112353,0.1,low spend per game,renewed
STH502007,TF105883,0.2,tenure,renewed
STH500580,TF101640,0.1,low spend per game,renewed
STH500276,TF100754,1.1,no dominant single factor,renewed
STH502409,TF107016,50.9,"low total spend, low game attendance",renewed
STH505825,TF117319,0.2,few emails received,renewed
STH504728,TF113942,0.1,"tenure, low spend per game",renewed
STH502524,TF107351,0.2,no dominant single factor,renewed
STH503635,TF110627,0.1,no dominant single factor,renewed
STH507223,TF121361,0.1,no dominant single factor,renewed
STH504834,TF114276,0.1,tenure,renewed
STH502577,TF107487,0.1,no dominant single factor,renewed
STH502942,TF108522,0.4,low spend per game,renewed
STH503702,TF110827,8.6,low total spend,renewed
STH506775,TF120075,1.4,tenure,renewed
STH504024,TF111807,0.3,"low email engagement, tenure",renewed
STH504077,TF111950,0.1,tenure,renewed
STH500249,TF100670,0.3,"low spend per game, low email engagement",renewed
STH503356,TF109779,0.1,tenure,renewed
STH500606,TF101708,0.9,"few emails received, low spend per game",renewed
STH502619,TF107612,2.9,"tenure, low spend per game",renewed
STH500351,TF100962,0.1,no dominant single factor,renewed
STH500721,TF102100,0.1,no dominant single factor,renewed
STH508217,TF124144,0.2,no dominant single factor,renewed
STH508361,TF124556,0.1,tenure,renewed
STH500562,TF101588,0.1,tenure,renewed
STH507778,TF122866,4.4,tenure,renewed
STH502758,TF108007,0.1,long gap since last game attended,renewed
STH505478,TF116309,0.2,"few emails received, tenure",renewed
STH500750,TF102174,0.2,low spend per game,renewed
STH500837,TF102439,0.1,tenure,renewed
STH504229,TF112378,90.6,"low total spend, low game attendance",not_renewed
STH502635,TF107650,36.7,"low game attendance, low total spend",renewed
STH504014,TF111764,0.3,no dominant single factor,renewed
STH502097,TF106136,2.6,"tenure, low email engagement",renewed
STH506158,TF118264,0.1,low spend per game,renewed
STH502054,TF106020,0.3,no dominant single factor,renewed
STH503638,TF110637,0.2,low email engagement,renewed
STH502131,TF106244,0.1,low email engagement,renewed
STH500354,TF100977,0.1,tenure,renewed
STH506119,TF118168,0.0,no dominant single factor,renewed
STH507484,TF122094,0.1,low email engagement,renewed
STH500778,TF102266,0.6,"tenure, low spend per game",renewed
STH502676,TF107778,11.0,"low game attendance, low total spend",renewed
STH501846,TF105411,0.1,tenure,renewed
STH500549,TF101550,0.1,tenure,renewed
STH504949,TF114668,2.0,long gap since last game attended,renewed
STH506147,TF118242,0.1,tenure,renewed
STH503354,TF109769,0.1,"low spend per game, low email engagement",renewed
STH502049,TF106012,0.3,low spend per game,renewed
STH501238,TF103643,0.1,no dominant single factor,renewed
STH506452,TF119156,0.1,no dominant single factor,renewed
STH503833,TF111207,97.4,"low total spend, low game attendance",not_renewed
STH507138,TF121097,0.1,low email engagement,renewed
STH508317,TF124433,21.3,"low email engagement, long gap since last game attended",renewed
STH501952,TF105734,2.4,long gap since last game attended,renewed
STH506601,TF119586,81.9,"low total spend, low game attendance",not_renewed
STH506941,TF120527,2.4,"low spend per game, low email engagement",renewed
STH504353,TF112776,0.1,"long gap since last game attended, low email engagement",renewed
STH501826,TF105354,16.4,"low game attendance, low email engagement",renewed
STH504945,TF114655,0.2,"low email engagement, tenure",renewed
STH507213,TF121327,1.3,no dominant single factor,renewed
STH504593,TF113528,0.1,no dominant single factor,renewed
STH507139,TF121101,0.3,"tenure, low email engagement",renewed
STH506590,TF119556,0.2,no dominant single factor,renewed
STH505765,TF117160,79.9,"low total spend, long gap since last game attended",not_renewed
STH502605,TF107576,0.1,no dominant single factor,renewed
STH506880,TF120375,7.7,"low total spend, low game attendance",renewed
STH507994,TF123476,0.1,no dominant single factor,renewed
STH506815,TF120203,0.1,no dominant single factor,renewed
STH506227,TF118486,40.2,"low game attendance, low total spend",not_renewed
STH500716,TF102087,0.1,low spend per game,renewed
STH507225,TF121365,92.2,"low total spend, low game attendance",not_renewed
STH502723,TF107901,0.2,tenure,renewed
STH501631,TF104776,0.1,no dominant single factor,renewed
STH506842,TF120269,0.2,"low email engagement, low spend per game",renewed
STH506864,TF120330,0.1,tenure,renewed
STH505058,TF115011,0.1,no dominant single factor,renewed
STH501413,TF104144,0.1,no dominant single factor,renewed
STH503332,TF109701,0.2,tenure,renewed
STH505430,TF116169,49.4,"low game attendance, low total spend",renewed
STH503334,TF109711,2.5,"low email engagement, few emails received",renewed
STH507760,TF122812,1.8,tenure,renewed
STH508297,TF124382,0.3,no dominant single factor,renewed
STH507126,TF121062,0.1,tenure,renewed
STH506499,TF119320,1.4,"low spend per game, few emails received",renewed
STH504729,TF113946,0.2,"tenure, low email engagement",renewed
STH506314,TF118746,0.1,few emails received,renewed
STH502116,TF106202,45.4,"low total spend, low game attendance",not_renewed
STH507376,TF121774,6.9,low game attendance,renewed
STH506055,TF118027,0.4,"few emails received, low email engagement",renewed
STH508149,TF123975,0.3,"low email engagement, tenure",renewed
STH505824,TF117317,3.5,tenure,renewed
STH503874,TF111330,0.3,"low email engagement, tenure",renewed
STH500503,TF101441,1.4,"tenure, low email engagement",not_renewed
STH500671,TF101899,1.2,"low email engagement, low game attendance",renewed
STH501318,TF103873,0.6,"low spend per game, low email engagement",renewed
STH504494,TF113214,0.1,long gap since last game attended,renewed
STH505937,TF117678,0.1,"low spend per game, tenure",renewed
STH507269,TF121474,0.1,tenure,renewed
STH506810,TF120191,0.1,tenure,renewed
STH505310,TF115783,98.0,"low total spend, low game attendance",not_renewed
STH502953,TF108561,0.1,few emails received,renewed
STH503061,TF108908,5.7,"low email engagement, low game attendance",renewed
STH500519,TF101478,0.2,"low spend per game, few emails received",renewed
STH504171,TF112220,0.1,low spend per game,renewed
STH501647,TF104819,0.1,low spend per game,renewed
STH507819,TF122985,0.1,no dominant single factor,renewed
STH508307,TF124410,0.3,no dominant single factor,renewed
STH501806,TF105285,0.3,no dominant single factor,renewed
STH505290,TF115717,0.1,low spend per game,renewed
STH504642,TF113649,0.6,long gap since last game attended,renewed
STH502326,TF106791,3.2,"low game attendance, low total spend",renewed
STH504748,TF114001,0.1,no dominant single factor,renewed
STH507786,TF122891,0.1,low spend per game,renewed
STH500904,TF102644,0.1,tenure,renewed
STH507686,TF122638,2.3,tenure,renewed
STH505154,TF115294,0.1,tenure,renewed
STH504928,TF114603,0.1,low spend per game,renewed
STH508218,TF124145,0.1,"low spend per game, tenure",renewed
STH504186,TF112253,0.6,low spend per game,renewed
STH501564,TF104579,0.2,tenure,renewed
STH505073,TF115047,1.6,"low spend per game, long gap since last game attended",renewed
STH504468,TF113129,1.1,no dominant single factor,renewed
STH507987,TF123457,0.1,tenure,renewed
STH503019,TF108768,1.8,few emails received,renewed
STH502492,TF107270,0.1,no dominant single factor,renewed
STH500918,TF102672,0.1,no dominant single factor,renewed
STH506800,TF120159,0.1,few emails received,renewed
STH505019,TF114898,0.1,tenure,renewed
STH502354,TF106874,0.1,low spend per game,renewed
STH500216,TF100590,0.1,tenure,renewed
STH508224,TF124163,0.1,few emails received,renewed
STH503909,TF111429,1.9,low spend per game,renewed
STH506869,TF120349,0.3,"tenure, low email engagement",renewed
STH507704,TF122686,0.1,low email engagement,renewed
STH506735,TF119964,0.4,"few emails received, low email engagement",renewed
STH503595,TF110516,0.9,low email engagement,renewed
STH505297,TF115728,0.4,"few emails received, tenure",renewed
STH501864,TF105488,1.3,"low spend per game, few emails received",renewed
STH502199,TF106407,0.1,low email engagement,renewed
STH501994,TF105861,2.2,no dominant single factor,renewed
STH505587,TF116651,0.5,few emails received,renewed
STH500701,TF102011,0.7,low spend per game,renewed
STH501020,TF103000,83.6,"low game attendance, low total spend",not_renewed
STH500200,TF100532,0.1,no dominant single factor,renewed
STH501494,TF104364,0.2,no dominant single factor,renewed
STH503232,TF109399,0.1,"tenure, low spend per game",renewed
STH507315,TF121603,3.6,"low game attendance, low total spend",renewed
STH508324,TF124464,30.4,"low email engagement, long gap since last game attended",renewed
STH500254,TF100686,71.0,"low total spend, low game attendance",renewed
STH505842,TF117372,0.3,"low spend per game, few emails received",renewed
STH500796,TF102300,0.3,few emails received,renewed
STH506801,TF120160,0.1,no dominant single factor,renewed
STH502421,TF107054,0.4,no dominant single factor,renewed
STH501872,TF105506,86.9,"low total spend, low game attendance",not_renewed
STH501349,TF103944,10.4,"low total spend, low game attendance",renewed
STH501408,TF104132,0.9,low spend per game,renewed
STH506347,TF118872,0.6,low email engagement,renewed
STH500728,TF102114,0.3,tenure,renewed
STH506668,TF119791,0.1,few emails received,renewed
STH505096,TF115119,0.7,"tenure, low email engagement",renewed
STH502766,TF108034,87.8,"low total spend, low game attendance",not_renewed
STH504490,TF113204,98.5,"low total spend, low game attendance",not_renewed
STH508212,TF124136,0.6,"tenure, low email engagement",renewed
STH503895,TF111401,0.1,low spend per game,renewed
STH501234,TF103633,0.1,no dominant single factor,renewed
STH505255,TF115630,0.2,"few emails received, tenure",renewed
STH508123,TF123878,0.0,no dominant single factor,renewed
STH506456,TF119170,0.1,"low email engagement, few emails received",renewed
STH505590,TF116658,6.8,"low game attendance, low total spend",renewed
STH500547,TF101548,0.2,low spend per game,renewed
STH501479,TF104322,28.1,"low game attendance, long gap since last game attended",renewed
STH501703,TF104990,0.1,tenure,renewed
STH502215,TF106459,0.1,tenure,renewed
STH502661,TF107730,1.0,"few emails received, low spend per game",renewed
STH505686,TF116981,0.1,low spend per game,renewed
STH503943,TF111548,0.2,"tenure, low spend per game",renewed
STH508388,TF124649,1.4,"few emails received, low email engagement",renewed
STH505243,TF115585,0.5,low spend per game,renewed
STH508197,TF124108,0.0,no dominant single factor,renewed
STH505728,TF117072,0.1,no dominant single factor,renewed
STH506297,TF118688,0.1,few emails received,renewed
STH506969,TF120607,1.5,tenure,renewed
STH506167,TF118291,0.1,low spend per game,renewed
STH501626,TF104769,0.2,low spend per game,renewed
STH505929,TF117650,0.2,tenure,renewed
STH506691,TF119833,0.1,no dominant single factor,renewed
STH501881,TF105537,4.4,"long gap since last game attended, low game attendance",renewed
STH505734,TF117089,40.6,"long gap since last game attended, low email engagement",not_renewed
STH507767,TF122833,0.4,"tenure, low email engagement",renewed
STH508400,TF124679,0.1,few emails received,renewed
STH504417,TF112988,0.1,tenure,renewed
STH502893,TF108389,7.1,"low game attendance, low total spend",not_renewed
STH507631,TF122472,0.4,"low spend per game, tenure",renewed
STH505435,TF116177,0.1,"low spend per game, low email engagement",renewed
STH500095,TF100278,0.4,low spend per game,renewed
STH500401,TF101114,0.1,tenure,renewed
STH500372,TF101043,0.2,"tenure, low spend per game",renewed
STH505803,TF117270,0.2,"tenure, low spend per game",renewed
STH504148,TF112151,1.1,low spend per game,renewed
STH501667,TF104890,0.1,no dominant single factor,renewed
STH505799,TF117258,0.2,low email engagement,renewed
STH500448,TF101285,0.0,no dominant single factor,renewed
STH504710,TF113866,5.4,"tenure, low spend per game",renewed
STH505358,TF115931,94.4,"low total spend, low game attendance",not_renewed
STH506155,TF118255,0.1,no dominant single factor,renewed
STH504001,TF111738,14.3,"low total spend, long gap since last game attended",renewed
STH508205,TF124120,0.2,low email engagement,renewed
STH501116,TF103263,0.1,tenure,renewed
STH506451,TF119155,1.1,no dominant single factor,renewed
STH502611,TF107592,0.1,low email engagement,renewed
STH504972,TF114754,0.1,low spend per game,renewed
STH500952,TF102791,0.1,low spend per game,renewed
STH504308,TF112627,0.1,no dominant single factor,renewed
STH508188,TF124072,0.2,"low email engagement, low spend per game",renewed
STH503429,TF110024,0.1,no dominant single factor,renewed
STH506051,TF118012,0.1,"tenure, low spend per game",renewed
STH505256,TF115631,0.6,low email engagement,renewed
STH502371,TF106911,0.5,"low spend per game, few emails received",renewed
STH502381,TF106926,0.1,low email engagement,renewed
STH501358,TF103973,0.1,no dominant single factor,renewed
STH507599,TF122379,0.8,tenure,renewed
STH506265,TF118606,0.1,no dominant single factor,renewed
STH500538,TF101524,59.7,"low total spend, low game attendance",renewed
STH502908,TF108426,0.1,no dominant single factor,renewed
STH507970,TF123422,0.2,low email engagement,renewed
STH506578,TF119523,0.2,low email engagement,renewed
STH501974,TF105793,8.8,low game attendance,renewed
STH507588,TF122355,0.3,"low email engagement, tenure",renewed
STH502824,TF108225,0.1,no dominant single factor,renewed
STH506743,TF119990,0.5,long gap since last game attended,renewed
STH504822,TF114240,1.1,tenure,renewed
STH500089,TF100266,0.5,no dominant single factor,renewed
STH502328,TF106796,0.1,low spend per game,renewed
STH501063,TF103108,6.8,long gap since last game attended,renewed
STH507201,TF121301,0.2,"low email engagement, few emails received",renewed
STH506431,TF119098,0.4,"few emails received, low email engagement",renewed
STH507532,TF122225,98.7,"low total spend, low game attendance",not_renewed
STH507111,TF121025,0.8,"low spend per game, low email engagement",not_renewed
STH500390,TF101089,96.0,"low total spend, low game attendance",not_renewed
STH501643,TF104811,0.5,few emails received,renewed
STH503982,TF111669,0.3,low spend per game,renewed
STH504192,TF112277,0.1,no dominant single factor,renewed
STH501646,TF104817,0.2,low spend per game,renewed
STH507167,TF121187,0.2,tenure,renewed
STH500461,TF101319,0.1,low email engagement,renewed
STH503069,TF108927,0.4,long gap since last game attended,renewed
STH505314,TF115792,0.1,low spend per game,renewed
STH504839,TF114285,1.8,tenure,renewed
STH504671,TF113739,0.1,no dominant single factor,renewed
STH505932,TF117666,0.2,"few emails received, tenure",renewed
STH500780,TF102271,0.4,low email engagement,renewed
STH504445,TF113064,0.2,low email engagement,renewed
STH502961,TF108592,2.3,no dominant single factor,renewed
STH507643,TF122508,0.2,"few emails received, low email engagement",renewed
STH504838,TF114283,0.3,low email engagement,renewed
STH504647,TF113661,0.1,tenure,renewed
STH506677,TF119806,0.1,no dominant single factor,renewed
STH507949,TF123364,0.1,"few emails received, tenure",renewed
STH503379,TF109843,0.2,no dominant single factor,renewed
STH505299,TF115734,0.4,"low spend per game, few emails received",renewed
STH500790,TF102289,3.9,"low spend per game, few emails received",renewed
STH508016,TF123581,1.8,low email engagement,renewed
STH507328,TF121635,0.4,few emails received,renewed
STH502483,TF107250,0.2,no dominant single factor,renewed
STH503811,TF111143,0.2,"low spend per game, tenure",renewed
STH500027,TF100069,0.1,no dominant single factor,renewed
STH508479,TF124942,0.2,tenure,renewed
STH505302,TF115748,0.3,no dominant single factor,renewed
STH505511,TF116417,0.2,low email engagement,renewed
STH502812,TF108176,0.5,tenure,renewed
STH507199,TF121298,0.2,tenure,renewed
STH501608,TF104727,95.9,"low total spend, low game attendance",not_renewed
STH504799,TF114179,0.3,tenure,renewed
STH507497,TF122119,0.1,low email engagement,renewed
STH501121,TF103278,0.3,"low spend per game, few emails received",renewed
STH505421,TF116140,1.1,tenure,renewed
STH507997,TF123489,14.1,"low game attendance, low total spend",renewed
STH504340,TF112733,0.3,low email engagement,renewed
STH505615,TF116746,0.1,tenure,renewed
STH503103,TF109027,0.1,few emails received,renewed
STH508130,TF123896,0.3,"low email engagement, tenure",renewed
STH503611,TF110552,0.6,"low email engagement, few emails received",renewed
STH505660,TF116900,0.1,no dominant single factor,renewed
STH507108,TF121020,0.3,few emails received,renewed
STH506795,TF120145,87.9,"low total spend, low game attendance",not_renewed
STH502756,TF108001,0.1,low spend per game,renewed
STH506957,TF120570,0.9,low spend per game,renewed
STH505969,TF117774,98.8,"low total spend, low game attendance",not_renewed
STH505935,TF117675,0.1,low spend per game,renewed
STH500611,TF101727,0.1,low spend per game,renewed
STH502822,TF108206,2.4,tenure,renewed
STH503518,TF110307,0.3,low email engagement,renewed
STH501270,TF103758,0.1,few emails received,renewed
STH504132,TF112101,0.5,"few emails received, tenure",renewed
