game_id,game_date,opponent,day_of_week,is_weekend,final_attendance,is_sellout,game_month,attendance_rate,opponent_avg_draw,predicted_attendance_rate,demand_percentile,recommended_price_adjustment_pct,actual_avg_price,recommended_avg_price,price_gap,revenue_gap_estimate
G2025014,2025-11-17,Mavericks,Monday,False,15622,False,11,0.8678888888888889,0.8529861111111111,0.8867753970261913,0.6036585365853658,3.1,95.73,97.89,2.1599999999999966,5061.527999999992
G2025015,2025-11-20,Raptors,Thursday,False,16045,False,11,0.8913888888888889,0.7932407407407407,0.8598151594357517,0.3597560975609756,-4.2,96.55,90.96,-5.590000000000003,0.0
G2025016,2025-11-21,Hornets,Friday,True,15779,False,11,0.8766111111111111,0.8801111111111112,0.9187953897936282,0.926829268292683,12.8,95.98,107.11,11.129999999999995,26343.04049999999
G2025017,2025-11-22,Hornets,Saturday,True,14569,False,11,0.8093888888888889,0.8801111111111112,0.925028205460968,0.9878048780487804,14.6,95.9,108.81,12.909999999999997,28212.868499999997
G2025018,2025-11-23,Jazz,Sunday,True,17215,False,11,0.9563888888888888,0.8395486111111111,0.9211423899830355,0.9573170731707316,13.7,95.73,107.96,12.22999999999999,31580.91749999997
G2025019,2025-11-25,Grizzlies,Tuesday,False,17518,False,11,0.9732222222222222,0.9732222222222222,0.8862917278249881,0.573170731707317,2.2,95.5,97.04,1.5400000000000065,4046.658000000016
G2025020,2025-11-26,Wizards,Wednesday,False,16628,False,11,0.9237777777777778,0.9237777777777778,0.8489108853607552,0.2317073170731707,-8.0,95.78,87.36,-8.420000000000002,0.0
G2025021,2025-11-28,Warriors,Friday,True,17476,False,11,0.9708888888888888,0.887537037037037,0.9187953897936282,0.926829268292683,12.8,95.6,107.11,11.510000000000003,30172.314000000013
G2025022,2025-11-29,Raptors,Saturday,True,15576,False,11,0.8653333333333333,0.7932407407407407,0.925028205460968,0.9878048780487804,14.6,95.92,108.81,12.89,30116.196
G2025023,2025-12-01,Hornets,Monday,False,16739,False,12,0.9299444444444444,0.8801111111111112,0.8588359729090014,0.3231707317073171,-5.3,95.7,89.92,-5.780000000000001,0.0
G2025024,2025-12-03,Jazz,Wednesday,False,16144,False,12,0.8968888888888888,0.8395486111111111,0.8209714612435652,0.0548780487804878,-13.4,95.57,82.23,-13.33999999999999,0.0
G2025025,2025-12-04,Hawks,Thursday,False,17053,False,12,0.9473888888888888,0.9136666666666668,0.8318757353185617,0.1341463414634146,-11.0,95.83,84.51,-11.319999999999991,0.0
G2025026,2025-12-06,Magic,Saturday,True,16577,False,12,0.9209444444444445,0.9604722222222222,0.897088781343778,0.75,7.5,95.75,102.07,6.319999999999993,15714.99599999998
G2025027,2025-12-08,Knicks,Monday,False,16574,False,12,0.9207777777777778,0.8576388888888888,0.8588359729090014,0.3231707317073171,-5.3,95.33,89.92,-5.409999999999997,0.0
G2025028,2025-12-10,Blazers,Wednesday,False,14630,False,12,0.8127777777777778,0.8666527777777778,0.8209714612435652,0.0548780487804878,-13.4,95.66,82.23,-13.429999999999993,0.0
G2025029,2025-12-13,Lakers,Saturday,True,17651,True,12,0.9806111111111112,0.9592037037037038,0.897088781343778,0.75,7.5,95.77,102.07,6.299999999999997,16680.194999999992
G2025030,2025-12-14,Jazz,Sunday,True,14132,False,12,0.7851111111111111,0.8395486111111111,0.8932029658658456,0.725609756097561,6.8,95.18,101.41,6.22999999999999,13206.353999999978
G2025031,2025-12-15,Celtics,Monday,False,14897,False,12,0.8276111111111111,0.8570555555555556,0.8588359729090014,0.3231707317073171,-5.3,95.72,89.92,-5.799999999999997,0.0
G2025032,2025-12-17,Mavericks,Wednesday,False,14244,False,12,0.7913333333333333,0.8529861111111111,0.8209714612435652,0.0548780487804878,-13.4,96.37,82.23,-14.14,0.0
G2025033,2025-12-19,Timberwolves,Friday,True,18000,True,12,1.0,1.0,0.8908559656764382,0.6646341463414634,4.9,95.94,99.6,3.6599999999999966,9881.99999999999
G2025034,2025-12-21,Celtics,Sunday,True,17573,False,12,0.9762777777777778,0.8570555555555556,0.8932029658658456,0.725609756097561,6.8,95.1,101.41,6.310000000000002,16632.844500000003
G2025035,2025-12-23,Mavericks,Tuesday,False,13549,False,12,0.7527222222222222,0.8529861111111111,0.8583523037077981,0.2926829268292683,-6.2,96.2,89.06,-7.140000000000001,0.0
G2025036,2025-12-24,Knicks,Wednesday,False,13038,False,12,0.7243333333333334,0.8576388888888888,0.8209714612435652,0.0548780487804878,-13.4,94.96,82.23,-12.72999999999999,0.0
G2025037,2025-12-26,Hornets,Friday,True,13257,False,12,0.7365,0.8801111111111112,0.8908559656764382,0.6646341463414634,4.9,95.85,99.6,3.75,7457.0625
G2025038,2025-12-29,Jazz,Monday,False,13448,False,12,0.7471111111111111,0.8395486111111111,0.8588359729090014,0.3231707317073171,-5.3,95.82,89.92,-5.899999999999992,0.0
G2025039,2026-01-01,Rockets,Thursday,False,13972,False,1,0.7762222222222223,0.8656527777777778,0.8261472683439334,0.1036585365853658,-11.9,95.85,83.65,-12.199999999999989,0.0
G2025040,2026-01-02,Rockets,Friday,True,14644,False,1,0.8135555555555556,0.8656527777777778,0.8851274987018098,0.5365853658536586,1.1,95.75,96.0,0.25,549.15
G2025041,2026-01-04,Blazers,Sunday,True,15559,False,1,0.8643888888888889,0.8666527777777778,0.8874744988912172,0.6219512195121951,3.7,95.92,98.46,2.539999999999992,5927.978999999981
G2025042,2026-01-09,Clippers,Friday,True,17902,True,1,0.9945555555555556,0.9746944444444444,0.8851274987018098,0.5365853658536586,1.1,95.73,96.0,0.269999999999996,725.0309999999894
G2025043,2026-01-10,Nuggets,Saturday,True,16041,False,1,0.8911666666666667,0.8637777777777778,0.8913603143691496,0.6951219512195121,5.9,95.44,100.55,5.109999999999999,12295.4265
G2025044,2026-01-17,Hornets,Saturday,True,17683,True,1,0.9823888888888888,0.8801111111111112,0.8913603143691496,0.6951219512195121,5.9,95.34,100.55,5.209999999999994,13819.264499999985
G2025045,2026-01-22,Jazz,Thursday,False,13582,False,1,0.7545555555555555,0.8395486111111111,0.8261472683439334,0.1036585365853658,-11.9,95.37,83.65,-11.72,0.0
G2025046,2026-01-24,Rockets,Saturday,True,15711,False,1,0.8728333333333333,0.8656527777777778,0.8913603143691496,0.6951219512195121,5.9,96.18,100.55,4.36999999999999,10298.560499999976
G2025047,2026-01-26,Celtics,Monday,False,13811,False,1,0.7672777777777777,0.8570555555555556,0.853107505934373,0.2804878048780488,-6.6,95.32,88.68,-6.639999999999986,0.0
G2025048,2026-01-30,Blazers,Friday,True,17196,False,1,0.9553333333333334,0.8666527777777778,0.8851274987018098,0.5365853658536586,1.1,95.69,96.0,0.3100000000000023,799.6140000000058
G2025049,2026-02-01,Jazz,Sunday,True,16073,False,2,0.8929444444444444,0.8395486111111111,0.90220588373869,0.7926829268292683,8.8,95.61,103.31,7.700000000000003,18564.31500000001
G2025050,2026-02-02,Magic,Monday,False,18000,True,2,1.0,0.9604722222222222,0.867838890781846,0.4207317073170731,-2.4,96.11,92.67,-3.4399999999999977,0.0
G2025051,2026-02-05,Knicks,Thursday,False,14293,False,2,0.7940555555555555,0.8576388888888888,0.8408786531914063,0.1829268292682926,-9.5,95.6,85.93,-9.669999999999987,0.0
G2025052,2026-02-10,Hornets,Tuesday,False,13628,False,2,0.7571111111111111,0.8801111111111112,0.8673552215806427,0.3902439024390244,-3.3,94.87,91.82,-3.050000000000012,0.0
G2025053,2026-02-12,Knicks,Thursday,False,16034,False,2,0.8907777777777778,0.8576388888888888,0.8408786531914063,0.1829268292682926,-9.5,95.52,85.93,-9.58999999999999,0.0
G2025054,2026-02-14,Warriors,Saturday,True,16082,False,2,0.8934444444444445,0.887537037037037,0.9060916992166226,0.8109756097560976,9.3,96.23,103.78,7.549999999999997,18212.86499999999
G2025055,2026-02-16,Spurs,Monday,False,16404,False,2,0.9113333333333332,0.9113333333333332,0.867838890781846,0.4207317073170731,-2.4,96.01,92.67,-3.3400000000000034,0.0
G2025056,2026-02-17,Bulls,Tuesday,False,15388,False,2,0.8548888888888889,0.8202361111111112,0.8673552215806427,0.3902439024390244,-3.3,95.83,91.82,-4.010000000000005,0.0
G2025057,2026-02-20,Lakers,Friday,True,16146,False,2,0.897,0.9592037037037038,0.8998588835492828,0.774390243902439,8.2,96.25,102.74,6.489999999999995,15718.130999999988
G2025058,2026-02-24,Suns,Tuesday,False,14297,False,2,0.7942777777777777,0.8971388888888889,0.8673552215806427,0.3902439024390244,-3.3,95.21,91.82,-3.390000000000001,0.0
G2025059,2026-02-25,Blazers,Wednesday,False,15014,False,2,0.8341111111111111,0.8666527777777778,0.8299743791164097,0.1219512195121951,-11.3,95.39,84.22,-11.170000000000002,0.0
G2025060,2026-02-26,Bulls,Thursday,False,12746,False,2,0.7081111111111111,0.8202361111111112,0.8408786531914063,0.1829268292682926,-9.5,96.27,85.93,-10.33999999999999,0.0
G2025061,2026-02-27,Heat,Friday,True,18000,True,2,1.0,1.0,0.8998588835492828,0.774390243902439,8.2,96.05,102.74,6.689999999999998,18062.999999999996
G2025062,2026-02-28,Suns,Saturday,True,18000,True,2,1.0,0.8971388888888889,0.9060916992166226,0.8109756097560976,9.3,95.33,103.78,8.450000000000003,22815.000000000007
G2025063,2026-03-03,Clippers,Tuesday,False,17187,False,3,0.9548333333333332,0.9746944444444444,0.8740350516166807,0.4512195121951219,-1.5,96.24,93.53,-2.7099999999999937,0.0
G2025064,2026-03-06,Thunder,Friday,True,15575,False,3,0.8652777777777778,0.8710833333333334,0.9065387135853208,0.8475609756097561,10.4,95.77,104.83,9.060000000000002,21166.425000000003
G2025065,2026-03-11,Warriors,Wednesday,False,14369,False,3,0.7982777777777778,0.887537037037037,0.8366542091524477,0.1524390243902439,-10.4,95.51,85.08,-10.430000000000009,0.0
G2025066,2026-03-12,Bulls,Thursday,False,16398,False,3,0.911,0.8202361111111112,0.8475584832274443,0.2134146341463414,-8.6,96.03,86.79,-9.239999999999997,0.0
G2025067,2026-03-13,Pacers,Friday,True,14687,False,3,0.8159444444444445,0.8217037037037037,0.9065387135853208,0.8475609756097561,10.4,95.92,104.83,8.909999999999997,19629.175499999998
G2025068,2026-03-15,Mavericks,Sunday,True,18000,True,3,1.0,0.8529861111111111,0.908885713774728,0.8841463414634146,11.5,95.46,105.87,10.41000000000001,28107.00000000003
G2025069,2026-03-18,Raptors,Wednesday,False,11214,False,3,0.623,0.7932407407407407,0.8366542091524477,0.1524390243902439,-10.4,95.68,85.08,-10.600000000000009,0.0
G2025070,2026-03-19,Knicks,Thursday,False,14686,False,3,0.8158888888888889,0.8576388888888888,0.8475584832274443,0.2134146341463414,-8.6,95.67,86.79,-8.879999999999995,0.0
G2025071,2026-03-20,Cavaliers,Friday,True,14483,False,3,0.8046111111111112,0.8860555555555556,0.9065387135853208,0.8475609756097561,10.4,95.76,104.83,9.069999999999991,19704.121499999987
G2025072,2026-03-24,Kings,Tuesday,False,17744,True,3,0.9857777777777778,0.9263611111111112,0.8740350516166807,0.4512195121951219,-1.5,96.13,93.53,-2.5999999999999943,0.0
G2025073,2026-03-27,Rockets,Friday,True,18000,True,3,1.0,0.8656527777777778,0.9065387135853208,0.8475609756097561,10.4,95.75,104.83,9.079999999999998,24516.0
G2025074,2026-03-28,Cavaliers,Saturday,True,17415,False,3,0.9675,0.8860555555555556,0.9127715292526606,0.902439024390244,12.1,95.79,106.44,10.649999999999991,27820.462499999976
G2025075,2026-03-29,Hornets,Sunday,True,18000,True,3,1.0,0.8801111111111112,0.908885713774728,0.8841463414634146,11.5,95.95,105.87,9.920000000000002,26784.000000000004
G2025076,2026-03-31,Pelicans,Tuesday,False,15518,False,3,0.8621111111111112,0.8224722222222223,0.8740350516166807,0.4512195121951219,-1.5,95.73,93.53,-2.200000000000003,0.0
G2025077,2026-04-03,Hawks,Friday,True,17536,False,4,0.9742222222222222,0.9136666666666668,0.8815619158113484,0.4756097560975609,-0.7,95.47,94.29,-1.1799999999999926,0.0
G2025078,2026-04-04,Bucks,Saturday,True,13524,False,4,0.7513333333333333,0.8295370370370371,0.8877947314786881,0.6341463414634146,4.0,95.71,98.75,3.0400000000000063,6166.944000000013
G2025079,2026-04-07,Hornets,Tuesday,False,14923,False,4,0.8290555555555555,0.8801111111111112,0.8490582538427083,0.2439024390243902,-7.7,95.49,87.64,-7.849999999999994,0.0
G2025080,2026-04-08,Pacers,Wednesday,False,15698,False,4,0.8721111111111111,0.8217037037037037,0.8116774113784754,0.0121951219512195,-14.6,95.9,81.09,-14.810000000000002,0.0
G2025081,2026-04-12,Hawks,Sunday,True,14749,False,4,0.8193888888888889,0.9136666666666668,0.8839089160007557,0.5121951219512195,0.4,95.97,95.33,-0.6400000000000006,0.0
