true_fan_id,duplicate_of
TF115278,TF115278
TF119344,TF119344
TF102032,TF102032
TF108817,TF108817
TF106520,TF106520
TF120959,TF120959
TF114090,TF114090
TF112150,TF112150
TF107705,TF107705
TF110591,TF110591
TF105797,TF105797
TF110229,TF110229
TF106394,TF106394
TF114184,TF114184
TF124279,TF124279
TF122890,TF122890
TF103654,TF103654
TF100399,TF100399
TF113584,TF113584
TF104040,TF104040
TF121839,TF121839
TF123140,TF123140
TF121614,TF121614
TF116051,TF116051
TF103796,TF103796
TF124412,TF124412
TF105916,TF105916
TF117157,TF117157
TF108086,TF108086
TF109927,TF109927
TF104679,TF104679
TF124855,TF124855
TF118716,TF118716
TF107622,TF107622
TF113259,TF113259
TF106712,TF106712
TF104513,TF104513
TF122961,TF122961
TF100832,TF100832
TF116640,TF116640
TF111736,TF111736
TF108115,TF108115
TF121149,TF121149
TF122684,TF122684
TF121017,TF121017
TF102160,TF102160
TF121706,TF121706
TF122415,TF122415
TF101153,TF101153
TF118649,TF118649
TF108503,TF108503
TF105133,TF105133
TF113552,TF113552
TF122660,TF122660
TF120581,TF120581
TF115753,TF115753
TF107573,TF107573
TF106709,TF106709
TF118581,TF118581
TF102101,TF102101
TF117751,TF117751
TF106481,TF106481
TF106896,TF106896
TF109580,TF109580
TF103077,TF103077
TF121685,TF121685
TF117438,TF117438
TF110028,TF110028
TF100480,TF100480
TF105806,TF105806
TF112111,TF112111
TF102236,TF102236
TF119403,TF119403
TF111777,TF111777
TF124133,TF124133
TF111280,TF111280
TF121675,TF121675
TF110522,TF110522
TF121000,TF121000
TF122117,TF122117
TF124694,TF124694
TF106716,TF106716
TF100072,TF100072
TF114914,TF114914
TF101583,TF101583
TF110165,TF110165
TF101383,TF101383
TF102823,TF102823
TF109114,TF109114
TF124918,TF124918
TF119720,TF119720
TF124319,TF124319
TF119182,TF119182
TF112855,TF112855
TF105856,TF105856
TF115388,TF115388
TF122891,TF122891
TF118814,TF118814
TF106764,TF106764
TF119531,TF119531
TF115668,TF115668
TF117718,TF117718
TF109073,TF109073
TF102826,TF102826
TF109048,TF109048
TF120994,TF120994
TF102432,TF102432
TF105382,TF105382
TF121419,TF121419
TF116187,TF116187
TF104198,TF104198
TF100084,TF100084
TF111903,TF111903
TF105727,TF105727
TF111117,TF111117
TF105751,TF105751
TF107902,TF107902
TF115854,TF115854
TF123815,TF123815
TF122513,TF122513
TF113059,TF113059
TF106668,TF106668
TF121164,TF121164
TF110985,TF110985
TF106456,TF106456
TF108241,TF108241
TF124962,TF124962
TF104061,TF104061
TF122883,TF122883
TF122529,TF122529
TF117946,TF117946
TF110356,TF110356
TF114868,TF114868
TF100030,TF100030
TF114779,TF114779
TF107848,TF107848
TF100422,TF100422
TF124396,TF124396
TF121925,TF121925
TF115645,TF115645
TF120075,TF120075
TF110431,TF110431
TF113589,TF113589
TF123664,TF123664
TF101674,TF101674
TF108437,TF108437
TF120453,TF120453
TF109719,TF109719
TF114095,TF114095
TF101638,TF101638
TF108497,TF108497
TF103259,TF103259
TF103204,TF103204
TF115898,TF115898
TF121718,TF121718
TF124408,TF124408
TF109647,TF109647
TF102190,TF102190
TF121263,TF121263
TF100972,TF100972
TF105223,TF105223
TF109170,TF109170
TF101236,TF101236
TF123045,TF123045
TF100452,TF100452
TF100721,TF100721
TF105789,TF105789
TF112557,TF112557
TF111118,TF111118
TF105021,TF105021
TF111125,TF111125
TF104925,TF104925
TF103046,TF103046
TF102770,TF102770
TF122244,TF122244
TF114888,TF114888
TF124275,TF124275
TF103936,TF103936
TF119704,TF119704
TF102708,TF102708
TF114142,TF114142
TF115747,TF115747
TF119071,TF119071
TF106789,TF106789
TF109431,TF109431
TF116432,TF116432
TF119561,TF119561
TF118410,TF118410
TF116198,TF116198
TF104663,TF104663
TF109928,TF109928
TF104320,TF104320
TF108990,TF108990
TF103161,TF103161
TF114589,TF114589
TF124040,TF124040
TF116069,TF116069
TF122188,TF122188
TF114606,TF114606
TF104797,TF104797
TF103009,TF103009
TF114139,TF114139
TF104165,TF104165
TF111763,TF111763
TF103510,TF103510
TF116803,TF116803
TF118755,TF118755
TF122551,TF122551
TF101073,TF101073
TF102722,TF102722
TF115309,TF115309
TF117078,TF117078
TF108288,TF108288
TF106096,TF106096
TF105557,TF105557
TF122199,TF122199
TF103939,TF103939
TF111407,TF111407
TF110145,TF110145
TF117128,TF117128
TF104200,TF104200
TF112046,TF112046
TF114134,TF114134
TF120055,TF120055
TF117842,TF117842
TF112409,TF112409
TF124699,TF124699
TF100235,TF100235
TF113038,TF113038
TF105151,TF105151
TF104995,TF104995
TF121983,TF121983
TF124385,TF124385
TF121849,TF121849
TF124457,TF124457
TF104645,TF104645
TF101227,TF101227
TF111902,TF111902
TF122392,TF122392
TF106095,TF106095
TF106780,TF106780
TF104477,TF104477
TF118902,TF118902
TF108539,TF108539
TF109597,TF109597
TF105777,TF105777
TF122735,TF122735
TF107847,TF107847
TF118293,TF118293
TF112935,TF112935
TF109985,TF109985
TF106528,TF106528
TF107543,TF107543
TF111922,TF111922
TF121314,TF121314
TF104441,TF104441
TF107027,TF107027
TF111936,TF111936
TF118685,TF118685
TF105329,TF105329
TF112519,TF112519
TF101167,TF101167
TF106924,TF106924
TF113467,TF113467
TF108265,TF108265
TF118791,TF118791
TF110673,TF110673
TF101492,TF101492
TF109382,TF109382
TF111171,TF111171
TF108416,TF108416
TF123305,TF123305
TF116739,TF116739
TF106989,TF106989
TF114099,TF114099
TF117945,TF117945
TF110791,TF110791
TF111701,TF111701
TF123979,TF123979
TF107998,TF107998
TF111476,TF111476
TF104052,TF104052
TF108392,TF108392
TF107909,TF107909
TF113557,TF113557
TF115217,TF115217
TF114637,TF114637
TF110524,TF110524
TF107437,TF107437
TF123209,TF123209
TF124450,TF124450
TF124235,TF124235
TF121005,TF121005
TF107978,TF107978
TF118481,TF118481
TF106622,TF106622
TF112543,TF112543
TF118687,TF118687
TF122860,TF122860
TF107226,TF107226
TF103967,TF103967
TF122496,TF122496
TF104965,TF104965
TF122901,TF122901
TF117079,TF117079
TF116966,TF116966
TF119610,TF119610
TF122270,TF122270
TF124683,TF124683
TF111445,TF111445
TF103836,TF103836
TF108248,TF108248
TF102106,TF102106
TF124066,TF124066
TF123662,TF123662
TF122823,TF122823
TF115362,TF115362
TF107795,TF107795
TF121888,TF121888
TF103157,TF103157
TF105542,TF105542
TF103509,TF103509
TF123175,TF123175
TF115975,TF115975
TF108309,TF108309
TF106155,TF106155
TF110838,TF110838
TF122023,TF122023
TF121425,TF121425
TF113984,TF113984
TF111894,TF111894
TF115438,TF115438
TF116118,TF116118
TF105748,TF105748
TF124661,TF124661
TF115749,TF115749
TF124454,TF124454
TF124410,TF124410
TF124813,TF124813
TF107854,TF107854
TF109776,TF109776
TF104573,TF104573
TF100475,TF100475
TF106763,TF106763
TF114384,TF114384
TF121979,TF121979
TF117689,TF117689
TF122309,TF122309
TF108401,TF108401
TF103446,TF103446
TF124886,TF124886
TF104873,TF104873
TF123564,TF123564
TF102320,TF102320
TF119693,TF119693
TF124938,TF124938
TF111754,TF111754
TF118120,TF118120
TF116068,TF116068
TF112969,TF112969
TF107520,TF107520
TF100467,TF100467
TF103288,TF103288
TF103872,TF103872
TF119565,TF119565
TF107344,TF107344
TF101983,TF101983
TF106493,TF106493
TF108446,TF108446
TF121301,TF121301
TF113319,TF113319
TF103760,TF103760
TF101749,TF101749
TF110574,TF110574
TF108010,TF108010
TF104844,TF104844
TF104812,TF104812
TF108864,TF108864
TF100177,TF100177
TF115592,TF115592
TF104384,TF104384
TF116332,TF116332
TF108586,TF108586
TF116095,TF116095
TF115811,TF115811
TF121752,TF121752
TF110398,TF110398
TF105116,TF105116
TF103567,TF103567
TF116112,TF116112
TF123275,TF123275
TF121568,TF121568
TF102411,TF102411
TF107884,TF107884
TF117306,TF117306
TF122780,TF122780
TF106855,TF106855
TF102020,TF102020
TF124602,TF124602
TF112982,TF112982
TF119732,TF119732
TF116514,TF116514
TF103959,TF103959
TF108694,TF108694
TF108938,TF108938
TF122710,TF122710
TF120987,TF120987
TF122124,TF122124
TF112608,TF112608
TF120958,TF120958
TF122092,TF122092
TF112555,TF112555
TF118350,TF118350
TF100584,TF100584
TF107726,TF107726
TF100542,TF100542
TF111209,TF111209
TF117349,TF117349
TF100033,TF100033
TF110988,TF110988
TF110030,TF110030
TF114061,TF114061
TF101361,TF101361
TF124722,TF124722
TF124136,TF124136
TF101660,TF101660
TF112677,TF112677
TF118482,TF118482
TF119894,TF119894
TF120360,TF120360
TF110093,TF110093
TF118767,TF118767
TF103868,TF103868
TF110061,TF110061
TF100591,TF100591
TF117583,TF117583
TF108498,TF108498
TF106264,TF106264
TF102287,TF102287
TF110408,TF110408
TF105924,TF105924
TF121387,TF121387
TF108933,TF108933
TF103928,TF103928
TF107197,TF107197
TF115721,TF115721
TF124009,TF124009
TF111606,TF111606
TF110725,TF110725
TF107028,TF107028
TF100117,TF100117
TF118098,TF118098
TF121166,TF121166
TF115410,TF115410
TF106782,TF106782
TF118550,TF118550
TF107970,TF107970
TF119123,TF119123
TF114459,TF114459
TF120762,TF120762
TF108182,TF108182
TF124528,TF124528
TF121975,TF121975
TF113210,TF113210
TF115297,TF115297
TF113724,TF113724
TF107908,TF107908
TF103261,TF103261
TF100575,TF100575
TF116126,TF116126
TF102843,TF102843
TF103328,TF103328
TF105026,TF105026
TF114465,TF114465
TF105466,TF105466
TF112680,TF112680
TF111981,TF111981
TF110245,TF110245
TF122324,TF122324
TF117848,TF117848
TF121811,TF121811
TF122388,TF122388
TF106881,TF106881
TF108706,TF108706
TF108740,TF108740
TF104262,TF104262
TF124818,TF124818
TF117509,TF117509
TF112312,TF112312
TF116440,TF116440
TF122554,TF122554
TF119078,TF119078
TF120270,TF120270
TF100767,TF100767
TF100322,TF100322
TF119898,TF119898
TF103484,TF103484
TF105692,TF105692
TF118765,TF118765
TF102755,TF102755
TF120233,TF120233
TF104584,TF104584
TF119799,TF119799
TF108352,TF108352
TF123850,TF123850
TF109598,TF109598
TF114348,TF114348
TF123654,TF123654
TF122954,TF122954
TF106685,TF106685
TF108735,TF108735
TF111405,TF111405
TF124449,TF124449
TF102866,TF102866
TF119356,TF119356
TF119568,TF119568
TF122681,TF122681
TF116774,TF116774
TF101997,TF101997
TF103549,TF103549
TF122783,TF122783
TF110102,TF110102
TF103599,TF103599
TF115108,TF115108
TF124470,TF124470
TF111019,TF111019
TF107517,TF107517
TF107577,TF107577
TF103142,TF103142
TF101123,TF101123
TF106331,TF106331
TF100079,TF100079
TF100634,TF100634
TF102362,TF102362
TF118980,TF118980
TF103888,TF103888
TF120948,TF120948
TF111213,TF111213
TF123155,TF123155
TF112437,TF112437
TF117174,TF117174
TF105357,TF105357
TF107938,TF107938
TF106620,TF106620
TF104220,TF104220
TF101780,TF101780
TF111882,TF111882
TF100320,TF100320
TF116566,TF116566
TF106412,TF106412
TF112585,TF112585
TF114671,TF114671
TF124539,TF124539
TF106015,TF106015
TF107091,TF107091
TF110493,TF110493
TF107083,TF107083
TF118312,TF118312
TF112167,TF112167
TF122286,TF122286
TF103198,TF103198
TF100902,TF100902
TF116585,TF116585
TF115717,TF115717
TF113827,TF113827
TF104700,TF104700
TF119803,TF119803
TF100036,TF100036
TF117895,TF117895
TF117746,TF117746
TF104300,TF104300
TF102234,TF102234
TF122843,TF122843
TF105922,TF105922
TF119642,TF119642
TF105234,TF105234
TF109133,TF109133
TF114154,TF114154
TF112073,TF112073
TF109135,TF109135
