true_fan_id,ticketmaster_shadow_id
TF116940,TM900258
TF119041,TM900259
TF118198,TM900260
TF112363,TM900261
TF112823,TM900262
TF121650,TM900263
TF114564,TM900264
TF100434,TM900265
TF113973,TM900266
TF116607,TM900267
TF105667,TM900268
TF104172,TM900269
TF110492,TM900270
TF103539,TM900271
TF105810,TM900272
TF113120,TM900273
TF102110,TM900274
TF110440,TM900275
TF121280,TM900276
TF105233,TM900277
TF118079,TM900278
TF110443,TM900279
TF110761,TM900280
TF112137,TM900281
TF115173,TM900282
TF120340,TM900283
TF114519,TM900284
TF115185,TM900285
TF117771,TM900286
TF120710,TM900287
TF106740,TM900288
TF112448,TM900289
TF113540,TM900290
TF120975,TM900291
TF113530,TM900292
TF100530,TM900293
TF112932,TM900294
TF106051,TM900295
TF102153,TM900296
TF113029,TM900297
TF110785,TM900298
TF121530,TM900299
TF112715,TM900300
TF118196,TM900301
TF116965,TM900302
TF115832,TM900303
TF109929,TM900304
TF115692,TM900305
TF121426,TM900306
TF119432,TM900307
TF114280,TM900308
TF118121,TM900309
TF111716,TM900310
TF101415,TM900311
TF114208,TM900312
TF116836,TM900313
TF115838,TM900314
TF114122,TM900315
TF123916,TM900316
TF109428,TM900317
TF116784,TM900318
TF107848,TM900319
TF102611,TM900320
TF114538,TM900321
TF102656,TM900322
TF105081,TM900323
TF105352,TM900324
TF109016,TM900325
TF104633,TM900326
TF100091,TM900327
TF104286,TM900328
TF110017,TM900329
TF109818,TM900330
TF117875,TM900331
TF121854,TM900332
TF105320,TM900333
TF108993,TM900334
TF100121,TM900335
TF107823,TM900336
TF115713,TM900337
TF112816,TM900338
TF103438,TM900339
TF105627,TM900340
TF113819,TM900341
TF107320,TM900342
TF116798,TM900343
TF113196,TM900344
TF103182,TM900345
TF105465,TM900346
TF123025,TM900347
TF121403,TM900348
TF108568,TM900349
TF124715,TM900350
TF104344,TM900351
TF123618,TM900352
TF120435,TM900353
TF124581,TM900354
TF108547,TM900355
TF121226,TM900356
TF115386,TM900357
TF120593,TM900358
TF120864,TM900359
TF122983,TM900360
TF118906,TM900361
TF124787,TM900362
TF113621,TM900363
TF105012,TM900364
TF115992,TM900365
TF124691,TM900366
TF108934,TM900367
TF101663,TM900368
TF122661,TM900369
TF115691,TM900370
TF100223,TM900371
TF101256,TM900372
TF115444,TM900373
TF101025,TM900374
TF100989,TM900375
TF124192,TM900376
TF111065,TM900377
TF108841,TM900378
TF116876,TM900379
TF123237,TM900380
TF102821,TM900381
TF104133,TM900382
TF111311,TM900383
TF116606,TM900384
TF112026,TM900385
TF102989,TM900386
TF124941,TM900387
TF107326,TM900388
TF104810,TM900389
TF109075,TM900390
TF105579,TM900391
TF100707,TM900392
TF106537,TM900393
TF101021,TM900394
TF112626,TM900395
TF100505,TM900396
TF114189,TM900397
TF119825,TM900398
TF112511,TM900399
TF115345,TM900400
TF119776,TM900401
TF114222,TM900402
TF102272,TM900403
TF119908,TM900404
TF105857,TM900405
TF113400,TM900406
TF105612,TM900407
TF124914,TM900408
TF117264,TM900409
TF104825,TM900410
TF116575,TM900411
TF103368,TM900412
TF113505,TM900413
TF110076,TM900414
TF111456,TM900415
TF121075,TM900416
TF111259,TM900417
TF112951,TM900418
TF113459,TM900419
TF123613,TM900420
TF115459,TM900421
TF123365,TM900422
TF117694,TM900423
TF122329,TM900424
TF107564,TM900425
TF123419,TM900426
TF102001,TM900427
TF108807,TM900428
TF105181,TM900429
TF122018,TM900430
TF107866,TM900431
TF107306,TM900432
TF120532,TM900433
TF110628,TM900434
TF105385,TM900435
TF123204,TM900436
TF124979,TM900437
TF102430,TM900438
TF100841,TM900439
TF104346,TM900440
TF123254,TM900441
TF110549,TM900442
TF115391,TM900443
TF103269,TM900444
TF101528,TM900445
TF107502,TM900446
TF109905,TM900447
TF100740,TM900448
TF122266,TM900449
TF118784,TM900450
TF101082,TM900451
TF107533,TM900452
TF102657,TM900453
TF117717,TM900454
TF113310,TM900455
TF124812,TM900456
TF122615,TM900457
TF110439,TM900458
TF121884,TM900459
TF101799,TM900460
TF105406,TM900461
TF101644,TM900462
TF120035,TM900463
TF112777,TM900464
TF120129,TM900465
TF105675,TM900466
TF111360,TM900467
TF108175,TM900468
TF122528,TM900469
TF123407,TM900470
TF104105,TM900471
TF120700,TM900472
TF124561,TM900473
TF118750,TM900474
TF108366,TM900475
TF102231,TM900476
TF114031,TM900477
TF108708,TM900478
TF111087,TM900479
TF119775,TM900480
TF123997,TM900481
TF109846,TM900482
TF116079,TM900483
TF114671,TM900484
TF123591,TM900485
TF113630,TM900486
TF123354,TM900487
TF117636,TM900488
TF100543,TM900489
TF121136,TM900490
TF116912,TM900491
TF119789,TM900492
TF112592,TM900493
TF123438,TM900494
TF124437,TM900495
TF104790,TM900496
TF110246,TM900497
TF101749,TM900498
TF118875,TM900499
TF111265,TM900500
TF111789,TM900501
TF108266,TM900502
TF100180,TM900503
TF106358,TM900504
TF103443,TM900505
TF100986,TM900506
TF102847,TM900507
TF120005,TM900508
TF119200,TM900509
TF116051,TM900510
TF122543,TM900511
TF101809,TM900512
TF112714,TM900513
TF113699,TM900514
TF106647,TM900515
TF116281,TM900516
TF117618,TM900517
TF120230,TM900518
TF115477,TM900519
TF123372,TM900520
TF119714,TM900521
TF101029,TM900522
TF110594,TM900523
TF111531,TM900524
TF112735,TM900525
TF121121,TM900526
TF101593,TM900527
TF100115,TM900528
TF122123,TM900529
TF102943,TM900530
TF116368,TM900531
TF118396,TM900532
TF112454,TM900533
TF116983,TM900534
TF109556,TM900535
TF113529,TM900536
TF119307,TM900537
TF123699,TM900538
TF122171,TM900539
TF101192,TM900540
TF104224,TM900541
TF118317,TM900542
TF113460,TM900543
TF119863,TM900544
TF118600,TM900545
TF115900,TM900546
TF119726,TM900547
TF100887,TM900548
TF114295,TM900549
TF123233,TM900550
TF104057,TM900551
TF105638,TM900552
TF118458,TM900553
TF123830,TM900554
TF102019,TM900555
TF113634,TM900556
TF118136,TM900557
TF112583,TM900558
TF119400,TM900559
TF113896,TM900560
TF110900,TM900561
TF107673,TM900562
TF100584,TM900563
TF111795,TM900564
TF110259,TM900565
TF120256,TM900566
TF101388,TM900567
TF111623,TM900568
TF115966,TM900569
TF108392,TM900570
TF124308,TM900571
TF116162,TM900572
TF105914,TM900573
TF110624,TM900574
TF103289,TM900575
TF106315,TM900576
TF104270,TM900577
TF124289,TM900578
TF101397,TM900579
TF123411,TM900580
TF114002,TM900581
TF120008,TM900582
TF122523,TM900583
TF118264,TM900584
TF100863,TM900585
TF116335,TM900586
TF106364,TM900587
TF113826,TM900588
TF123098,TM900589
TF101592,TM900590
TF110458,TM900591
TF123491,TM900592
TF117159,TM900593
TF102320,TM900594
TF100209,TM900595
TF120553,TM900596
TF114019,TM900597
TF116246,TM900598
TF100443,TM900599
TF102741,TM900600
TF120286,TM900601
TF118734,TM900602
TF110623,TM900603
TF117710,TM900604
TF113611,TM900605
TF121111,TM900606
TF117344,TM900607
TF107523,TM900608
TF117799,TM900609
TF112371,TM900610
TF110763,TM900611
TF121979,TM900612
TF109334,TM900613
TF123645,TM900614
TF123220,TM900615
TF120880,TM900616
TF112538,TM900617
TF102248,TM900618
TF119566,TM900619
TF118004,TM900620
TF118945,TM900621
TF110431,TM900622
TF118435,TM900623
TF114849,TM900624
TF116695,TM900625
TF123447,TM900626
TF101072,TM900627
TF116324,TM900628
TF118493,TM900629
TF102381,TM900630
TF120574,TM900631
TF104131,TM900632
TF124712,TM900633
TF100143,TM900634
TF107513,TM900635
TF104965,TM900636
TF113771,TM900637
TF103059,TM900638
TF100567,TM900639
TF118090,TM900640
TF107825,TM900641
TF108300,TM900642
TF110680,TM900643
TF110038,TM900644
TF101944,TM900645
TF106370,TM900646
TF114271,TM900647
TF100713,TM900648
TF105862,TM900649
TF119747,TM900650
TF103896,TM900651
TF109040,TM900652
TF122936,TM900653
TF118242,TM900654
TF102537,TM900655
TF115914,TM900656
TF116359,TM900657
TF102375,TM900658
TF102685,TM900659
TF107336,TM900660
TF110649,TM900661
TF105871,TM900662
TF111357,TM900663
TF102209,TM900664
TF114467,TM900665
TF110369,TM900666
TF107032,TM900667
TF108739,TM900668
TF102934,TM900669
TF113378,TM900670
TF114095,TM900671
TF109059,TM900672
TF115623,TM900673
TF123552,TM900674
TF123951,TM900675
TF115483,TM900676
TF109906,TM900677
TF117971,TM900678
TF117381,TM900679
TF118516,TM900680
TF101522,TM900681
TF120662,TM900682
TF111778,TM900683
TF110868,TM900684
TF116138,TM900685
TF123766,TM900686
TF114055,TM900687
TF109770,TM900688
TF122912,TM900689
TF101090,TM900690
TF100065,TM900691
TF124477,TM900692
TF104975,TM900693
TF101179,TM900694
TF116507,TM900695
TF111553,TM900696
TF101666,TM900697
TF104546,TM900698
TF110744,TM900699
TF114605,TM900700
TF121986,TM900701
TF101723,TM900702
TF122247,TM900703
TF123197,TM900704
TF109306,TM900705
TF100147,TM900706
TF104822,TM900707
TF103192,TM900708
TF110879,TM900709
TF104577,TM900710
TF104143,TM900711
TF122084,TM900712
TF101130,TM900713
TF105948,TM900714
TF116692,TM900715
TF108440,TM900716
TF122301,TM900717
TF108019,TM900718
TF110021,TM900719
TF120477,TM900720
TF104704,TM900721
TF118424,TM900722
TF106802,TM900723
TF119044,TM900724
TF110224,TM900725
TF121511,TM900726
TF124562,TM900727
TF117762,TM900728
TF106751,TM900729
TF111464,TM900730
TF110085,TM900731
TF122295,TM900732
TF123337,TM900733
TF123842,TM900734
TF108488,TM900735
TF111654,TM900736
TF100659,TM900737
TF114655,TM900738
TF119322,TM900739
TF114078,TM900740
TF117195,TM900741
TF116496,TM900742
TF115390,TM900743
TF102768,TM900744
TF122540,TM900745
TF101119,TM900746
TF119371,TM900747
TF105283,TM900748
TF120718,TM900749
